Job Code,Term,Revision,Plan Date
BCDR021,3,2,2016-12-11
BCDR021,3,3,2016-12-07
BCDR021,4,1,2017-02-24
BCDR021,4,2,2017-02-22
BCDR021,4,3,2017-03-01
BCDR022,1,1,2016-08-19
BCDR022,2,1,2016-08-21
BCDR022,2,2,2016-08-17
BCDR023,1,1,2017-11-06
BCDR023,1,2,2017-11-15
BCDR023,1,3,2017-11-27
BCDR023,2,1,2017-10-17
BCDR023,2,2,2017-10-21
BCDR023,3,1,2017-10-30
BCDR023,3,2,2017-11-08
BCDR024,1,1,2017-11-08
BCDR024,2,1,2018-01-06
BCDR024,2,2,2017-12-30
BCDR024,2,3,2017-12-26
BCDR025,1,1,2017-12-17
BCDR025,1,2,2017-12-17
BCDR025,1,3,2017-12-11
BCDR025,2,1,2017-11-10
BCDR025,2,2,2017-11-05
BCDR025,3,1,2017-12-23
BCDR026,1,1,2018-08-11
BCDR027,1,1,2018-09-13
BCDR027,1,2,2018-09-27
BCDR027,2,1,2018-10-26
BCDR027,2,2,2018-10-24
BCDR027,2,3,2018-10-25
BCDR027,2,4,2018-11-03
BCDR028,1,1,2019-04-29
BCDR028,1,2,2019-05-09
BCDR028,1,3,2019-05-08
BCDR028,1,4,2019-05-10
BCDR028,2,1,2019-05-14
BCDR028,2,2,2019-05-27
BCDR028,2,3,2019-05-31
BCDR028,2,4,2019-06-07
BCDR028,3,1,2019-05-27
BCDR028,3,2,2019-05-27
BCDR028,3,3,2019-05-27
BCDR028,3,4,2019-05-22
BCDR029,1,1,2019-12-24
BCDR029,1,2,2020-01-04
BCDR029,1,3,2020-01-14
BCDR030,1,1,
BCDR030,1,2,
BCDR030,2,1,
BCDR030,3,1,
BCDR030,4,1,
BCDR031,1,1,2021-05-05
BCDR031,1,2,2021-05-14
BCDR031,1,3,2021-05-14
BCDR032,1,1,2021-08-04
BCDR032,1,2,2021-08-12
BCDR032,1,3,2021-08-11
BCDR032,2,1,2021-06-12
BCDR032,2,2,2021-06-23
BCDR032,3,1,2021-08-23
BCDR032,3,2,2021-08-31
BCDR032,3,3,2021-09-06
BCDR032,3,4,2021-09-05
BCDR033,1,1,2022-05-27
BCDR034,1,1,2022-12-05
BCDR034,1,2,2022-12-11
BCDR034,1,3,2022-12-17
BCDR034,1,4,2022-12-24
BCDR034,2,1,2022-12-15
BCDR034,3,1,2022-11-25
BCDR035,1,1,2023-09-07
BCDR035,1,2,2023-09-03
BCDR035,1,3,2023-09-03
BCDR035,1,4,2023-09-02
BCDR035,2,1,2023-10-26
BCDR035,2,2,2023-11-02
BCDR035,3,1,2023-10-29
BCDR035,3,2,2023-10-27
BCDR035,4,1,2023-12-11
BCDR035,4,2,2023-12-11
BCDR035,4,3,2023-12-06
BCDR035,5,1,2024-03-21
BCDR035,5,2,2024-03-17
BCDR035,5,3,2024-03-11
BCDR035,5,4,2024-03-24
BCDR036,1,1,2024-11-24
BCDR037,1,1,2024-11-27
BCDR037,1,2,2024-12-03
BCDR038,1,1,2024-08-31
BCDR038,1,2,2024-08-30
BCDR038,1,3,2024-09-04
BCDR038,1,4,2024-08-29
BCDR038,2,1,2024-11-06
BCDR038,2,2,2024-10-30
BCDR039,1,1,2024-12-02
BCDR039,1,2,2024-12-09
BCDR039,1,3,2024-12-11
BCDR039,1,4,2024-12-17
BCDR039,2,1,2025-01-03
BCDR039,2,2,2025-01-02
BCDR039,2,3,2025-01-04
BCDR039,2,4,2025-01-03
BCDR039,3,1,2025-02-17
BCDR040,1,1,2025-02-20
BCDR040,2,1,2025-02-24
BCDR040,3,1,2025-02-07
BCDR040,3,2,2025-02-16
BCDR040,3,3,2025-02-14
BCDR040,3,4,2025-02-08
BCDR040,4,1,2025-02-24
BCDR041,1,1,2024-12-11
BCDR041,2,1,2024-12-20
BCDR041,3,1,2024-12-11
BCDR041,3,2,2024-12-07
BCDR041,4,1,2024-12-17
BCDR041,4,2,2024-12-29
BCDR042,1,1,2025-12-12
BCDR043,1,1,2025-11-06
BCDR043,2,1,2025-11-01
BCDR043,2,2,2025-10-31
BCDR043,2,3,2025-11-14
BCDR044,1,1,2026-05-25
BCDR044,1,2,2026-05-26
BCDR044,1,3,2026-05-31
BCSP001,1,1,2014-03-19
BCSP001,1,2,2014-04-01
BCSP001,2,1,2014-03-12
BCSP001,2,2,2014-03-15
BCSP001,2,3,2014-03-10
BCSP002,1,1,2015-03-03
BCSP002,2,1,2015-02-02
BCSP003,1,1,2016-01-09
BCSP003,1,2,2016-01-10
BCSP003,2,1,2016-01-04
BCSP003,2,2,2015-12-30
BCSP003,3,1,2016-01-04
BCSP003,3,2,2016-01-06
BCSP004,1,1,2016-01-06
BCSP004,1,2,2016-01-16
BCSP004,2,1,2016-01-11
BCSP004,2,2,2016-01-24
BCSP004,2,3,2016-02-02
BCSP005,1,1,2016-09-14
BCSP006,1,1,2021-09-17
BCSP006,1,2,2021-09-13
BCSP006,1,3,2021-09-10
BCSP007,1,1,2021-08-27
BCSP007,1,2,2021-08-23
BCSP007,1,3,2021-09-02
BCSP007,2,1,2021-09-01
BCSP007,2,2,2021-09-03
BCSP008,1,1,2023-12-03
BCSP008,1,2,2023-12-02
BDK01-25-10-01,1,1,2026-01-21
BDK01-25-10-01,1,2,2026-01-29
BDK01-25-10-01,1,3,2026-01-30
BDK01-25-10-01,2,1,2026-01-07
BDK01-25-10-01,3,1,2026-01-13
BDK01-25-10-01,3,2,2026-01-07
BDK01-25-10-01,3,3,2025-12-31
BDK01-25-10-01,3,4,2026-01-03
BDN01-25-12-02,1,1,2026-01-22
BDN01-25-12-02,1,2,2026-01-23
BPIR004,1,1,2015-12-15
BPIR004,1,2,2015-12-25
BPIR005,1,1,2016-11-28
BPIR005,1,2,2016-11-21
BPIR005,1,3,2016-11-17
BPIR005,1,4,2016-11-12
BPIR005,2,1,2016-11-28
BPIR005,2,2,2016-11-22
BPIR005,3,1,2016-12-14
BPIR005,3,2,2016-12-24
BPIR005,3,3,2016-12-21
BPIR006,1,1,
BPIR006,1,2,
BPIR006,1,3,
BPIR006,1,4,
BPIR007,1,1,
BPIR008,1,1,2018-03-11
BPIR008,1,2,2018-03-11
BPIR008,2,1,2017-10-06
BPIR008,3,1,2017-11-12
BPIR008,3,2,2017-11-09
BPIR008,3,3,2017-11-09
BPIR008,3,4,2017-11-07
BPIR008,4,1,2017-12-06
BPIR008,4,2,2017-11-29
BPIR008,5,1,2018-01-01
BPIR008,5,2,2018-01-07
BPIR008,6,1,2018-02-01
BPIR008,6,2,2018-01-30
BPIR009,1,1,2017-08-06
BPIR009,2,1,2017-08-09
BPIR010,1,1,2019-12-16
BPIR010,1,2,2019-12-23
BPIR010A,1,1,2019-03-12
BPIR010A,1,2,2019-03-12
BPIR010A,1,3,2019-03-12
BPIR010A,2,1,2019-02-01
BPIR010A,3,1,2019-04-19
BPIR010A,3,2,2019-04-22
BPIR010A,4,1,2019-02-18
BPIR010A,4,2,2019-02-19
BPIR010A,4,3,2019-02-23
BPIR011,1,1,2021-03-04
BPIR011,1,2,2021-03-14
BPIR011,1,3,2021-03-17
BPIR011,1,4,2021-03-10
BPIR011,2,1,2021-02-19
BPIR012,1,1,2024-02-28
BPIR012,1,2,2024-02-29
BPIR012,2,1,2024-03-25
BPIR012,3,1,2024-05-04
BPIR012,3,2,2024-05-07
BPIR012,3,3,2024-05-13
BPIR012,3,4,2024-05-25
BRJ01-25-11-01,1,1,2026-04-14
BRJ01-25-11-01,2,1,2026-04-07
BRJ01-25-11-01,2,2,2026-04-01
BRJ01-25-11-01,3,1,2026-02-26
BRJ01-25-11-01,3,2,2026-03-07
BRJ01-25-11-01,3,3,2026-03-17
BRJ01-25-11-01,3,4,2026-03-31
BSOP002,1,1,2013-12-12
BSOP002,1,2,2013-12-18
BSOP002,2,1,2013-12-22
BSOP002,3,1,2013-12-20
BSOP002,3,2,2013-12-23
BSOP002,3,3,2014-01-06
BSOP002,4,1,2013-12-10
BSOP002,5,1,2013-12-22
BSOP002,5,2,2013-12-28
BSOP002,5,3,2013-12-31
BSOP003,1,1,
BSOP003,1,2,
BSOP003,1,3,
BSOP003,1,4,
BSOP004,1,1,2013-12-06
BSOP004,1,2,2013-12-11
BSOP004,1,3,2013-12-25
BSOP004,1,4,2013-12-23
BSOP004,2,1,2013-11-27
BSOP004,2,2,2013-12-07
BSOP004,2,3,2013-11-30
BSOP004,3,1,2013-11-24
BSOP004,3,2,2013-11-23
BSOP004,3,3,2013-11-29
BSOP005,1,1,2014-03-10
BSOP005,1,2,2014-03-17
BSOP005,1,3,2014-03-24
BSOP005,2,1,2014-03-12
BSOP005,2,2,2014-03-20
BSOP005,3,1,2014-03-17
BSOP005,3,2,2014-03-12
BSOP005,4,1,2014-03-12
BSOP005,4,2,2014-03-26
BSOP005,4,3,2014-04-08
BSOP006,1,1,2013-12-26
BSOP006,1,2,2013-12-26
BSOP006,1,3,2014-01-09
BSOP006,2,1,2013-12-31
BSOP006,2,2,2013-12-30
BSOP006,2,3,2013-12-27
BSOP007,1,1,2014-06-24
BSOP007,2,1,2014-07-08
BSOP007,2,2,2014-07-20
BSOP007,3,1,2014-07-07
BSOP008,1,1,2015-10-18
BSOP008,1,2,2015-10-29
BSOP008,1,3,2015-10-28
BSOP008,1,4,2015-11-02
BSOP009,1,1,2015-12-20
BSOP009,1,2,2015-12-20
BSOP009,1,3,2015-12-17
BSOP009,1,4,2015-12-30
BSOP009,2,1,2015-12-11
BSOP009,3,1,2015-12-15
BSOP009,3,2,2015-12-13
BSOP009,3,3,2015-12-22
BSOP009,3,4,2015-12-29
BSOP010,1,1,2015-12-25
BSOP010,2,1,2015-12-11
BSOP010,2,2,2015-12-18
BSOP010,3,1,2015-12-22
BSOP010,3,2,2016-01-05
BSOP011,1,1,
BSOP011,1,2,
BSOP011,1,3,
BSOP012,1,1,2017-08-31
BSOP012,1,2,2017-09-07
BSOP012,1,3,2017-09-05
BSOP012,1,4,2017-09-13
BSOP012,2,1,2017-09-05
BSOP012,2,2,2017-09-05
BSOP012,2,3,2017-09-18
BSOP012,2,4,2017-09-19
BSOP012,3,1,2017-11-12
BSOP012,3,2,2017-11-12
BSOP012,3,3,2017-11-13
BSOP012,3,4,2017-11-20
BSOP013,1,1,2017-12-24
BSOP014,1,1,2018-10-01
BSOP014,1,2,2018-10-04
BSOP015,1,1,2018-06-18
BSOP015,1,2,2018-06-13
BSOP015,1,3,2018-06-10
BSOP015,2,1,2018-07-25
BSOP015,2,2,2018-07-30
BSOP015,3,1,2018-09-29
BSOP015,3,2,2018-09-24
BSOP015,4,1,2018-05-31
BSOP015,4,2,2018-06-03
BSOP015,4,3,2018-06-13
BSOP015,4,4,2018-06-20
BSOP016,1,1,2019-03-16
BSOP016,1,2,2019-03-15
BSOP016,1,3,2019-03-21
BSOP016,1,4,2019-03-26
BSOP016,2,1,2019-04-11
BSOP016,3,1,2019-05-08
BSOP016,3,2,2019-05-01
BSOP016,3,3,2019-05-05
BSOP016,3,4,2019-05-07
BSOP016,4,1,2019-05-06
BSOP016,4,2,2019-05-16
BSOP016,4,3,2019-05-26
BSOP016,4,4,2019-06-07
BSOP017,1,1,2021-08-08
BSOP017,1,2,2021-08-08
BSOP017,2,1,2022-04-06
BSOP017,2,2,2022-04-14
BSOP017,2,3,2022-04-07
BSOP017,3,1,2022-04-03
BSOP017,3,2,2022-04-17
BSOP017,3,3,2022-05-01
BSOP017,3,4,2022-05-06
BSOP017,4,1,2022-04-07
BSOP017,4,2,2022-04-04
BSOP018,1,1,2022-03-18
BSOP019,1,1,
BSOP019,2,1,
BSOP019,2,2,
BSOP019,2,3,
BSOP019,2,4,
BSOP020,1,1,2022-08-21
BSOP020,1,2,2022-08-24
BSOP020,1,3,2022-08-23
BSOP020,2,1,2022-08-19
BSOP020,2,2,2022-08-22
BSOP020,2,3,2022-08-27
BSOP020,2,4,2022-08-28
BSOP020,3,1,2022-08-17
BSOP020,3,2,2022-08-12
BSOP020,3,3,2022-08-20
BSOP020,3,4,2022-08-13
BSOP021,1,1,2022-07-26
BSOP021,2,1,2022-08-04
BSOP021,2,2,2022-07-30
BSOP022,1,1,2023-10-06
BSOP022,2,1,2023-12-29
BSOP022,2,2,2023-12-22
BSOP023,1,1,2023-11-03
BSOP023,1,2,2023-10-31
BSOP023,2,1,2023-12-22
BSOP023,2,2,2023-12-18
BSOP023,2,3,2023-12-29
BSOP023,2,4,2023-12-28
BSOP023,3,1,2023-12-23
BSOP023,3,2,2023-12-27
BSOP023,3,3,2023-12-25
BSOP023,3,4,2024-01-06
BSOP023,4,1,2023-12-27
BSOP024,1,1,2026-06-11
BSOP024,1,2,2026-06-22
BSOP024,1,3,2026-06-15
BSOP024,2,1,
BSOP024,2,2,
BSOP024,2,3,
BSOP024,3,1,
BSOP024,3,2,
BSOP024,3,3,
BSOP024,3,4,
BSOP024,4,1,
BSOP024,4,2,
CIMP001,1,1,
CIMP001,2,1,
CIMP002,1,1,2016-03-04
CIMP002,1,2,2016-03-08
CIMP002,1,3,2016-03-03
CIMP002,1,4,2016-03-12
CIMP003,1,1,2016-05-06
CIMP003,1,2,2016-05-12
CIMP003,1,3,2016-05-20
CIMP004,1,1,2016-01-26
CIMP005,1,1,2016-04-25
CIMP005,1,2,2016-05-02
CIMP005,1,3,2016-04-29
CIMP006,1,1,2016-02-15
CIMP006,1,2,2016-02-24
CIMP006,1,3,2016-03-08
CIMP006,1,4,2016-03-09
CIMP007,1,1,2016-06-17
CIMP007,1,2,2016-06-23
CIMP007,1,3,2016-07-04
CIMP007,1,4,2016-07-05
CIMP008,1,1,2016-04-28
CIMP008,1,2,2016-04-23
CIMP008,1,3,2016-04-24
CIMP009,1,1,2016-03-30
CIMP009,1,2,2016-04-06
CIMP009,1,3,2016-04-17
CIMP009,1,4,2016-04-29
CIMP010,1,1,2016-04-16
CIMP010,1,2,2016-04-09
CIMP010,1,3,2016-04-17
CIMP010,1,4,2016-04-20
CIMP011,1,1,2016-04-16
CIMP011,1,2,2016-04-15
CIMP012,1,1,2016-07-30
CIMP012,1,2,2016-08-02
CIMP012,1,3,2016-08-03
CIMP012,2,1,2016-07-02
CIMP012,2,2,2016-06-25
CIMP012,2,3,2016-07-04
CIMP013,1,1,2019-02-15
CIMP013,1,2,2019-02-15
CIMP013,2,1,2019-02-28
CIMP013,2,2,2019-03-10
CIMP013,2,3,2019-03-10
CIMP013,2,4,2019-03-18
CIMP013,3,1,2019-03-07
CIMP013,3,2,2019-02-28
CIMP013,3,3,2019-02-23
CIMP013,3,4,2019-02-25
CIMP014,1,1,2019-12-05
CIMP014,1,2,2019-12-05
CIMP014,2,1,2020-01-14
CIMP014,2,2,2020-01-25
CIMP014,2,3,2020-01-29
CIMP014,3,1,2020-02-10
CIMP014,3,2,2020-02-19
CIMP014,3,3,2020-02-23
CIMP014,3,4,2020-02-29
CIMP014,4,1,2020-03-04
CIMP014,4,2,2020-03-11
CIMP014,4,3,2020-03-12
CIMP014,5,1,2020-04-01
CIMP014,5,2,2020-04-01
CIMP014,5,3,2020-03-28
CIMP014,6,1,2020-05-03
CIMP014,6,2,2020-04-29
CIMP014,7,1,2020-05-30
CIMP014,7,2,2020-05-29
CIMP014,8,1,2020-07-01
CIMP014,8,2,2020-07-12
CIMP014,8,3,2020-07-21
CIMP014,8,4,2020-08-02
DCI01-25-12-02,1,1,2026-01-12
DCI01-25-12-02,1,2,2026-01-11
DCI01-25-12-02,1,3,2026-01-13
DCI01-25-12-02,2,1,2026-02-23
DCI01-25-12-02,2,2,2026-02-21
DCI01-25-12-02,3,1,2026-02-27
DCI01-25-12-02,3,2,2026-03-09
DCI01-25-12-02,3,3,2026-03-06
DGOV001,1,1,
DGOV001,1,2,
DGOV001,1,3,
DGOV001,7,1,
DGOV001,7,2,
DGOV001,7,3,
DGOV001,8,1,
DGOV002,1,1,
DGOV002,1,2,
DGOV002,1,3,
DGOV003,1,1,2017-10-30
DGOV003,1,2,2017-10-24
DGOV003,1,3,2017-10-25
DGOV003,2,1,2018-02-28
DGOV003,2,2,2018-02-23
DGOV003,2,3,2018-02-28
DGOV003,2,4,2018-03-08
DGOV003,3,1,2018-03-15
DGOV003,4,1,2018-02-25
DGOV004,1,1,2017-11-19
DGOV004,1,2,2017-11-21
DGOV004,2,1,2017-12-05
DGOV005,1,1,2020-01-01
DGOV005,2,1,2020-01-12
DGOV005,2,2,2020-01-24
DGOV005,2,3,2020-02-05
DGOV005,2,4,2020-02-05
DGOV005,3,1,2020-01-07
DGOV005,3,2,2020-01-14
DGOV005,3,3,2020-01-16
DGOV005,3,4,2020-01-27
DGOV006,1,1,2020-01-02
DGOV006,1,2,2020-01-13
DGOV006,1,3,2020-01-25
DGOV006,1,4,2020-01-19
DGOV006,2,1,2019-12-30
DGOV006,3,1,2020-02-01
DGOV006,3,2,2020-02-15
DGOV007,1,1,2021-11-28
DGOV008,1,1,2021-12-13
DGOV008,1,2,2021-12-23
DGOV008,2,1,2022-03-28
DGOV008,3,1,2022-06-30
DGOV009,1,1,2023-09-11
DGOV009,1,2,2023-09-19
DGOV009,1,3,2023-09-21
DGOV009,1,4,2023-09-15
DGOV009,2,1,2023-06-22
DGOV009,2,2,2023-06-24
DGOV009,3,1,2023-07-20
DGOV009,3,2,2023-08-03
DGOV009,3,3,2023-08-03
DGOV009,3,4,2023-08-04
DGOV010,1,1,2026-01-21
DGOV010,1,2,2026-01-17
DGOV010,2,1,2026-05-07
DGOV010,2,2,2026-05-04
DGOV010,3,1,2026-05-12
DGOV010,3,2,2026-05-07
DGOV010,3,3,2026-05-01
DKVC001,1,1,2021-08-02
DKVC001,1,2,2021-08-14
HCPS001,1,1,2018-03-07
HCPS001,1,2,2018-03-03
HCPS001,1,3,2018-03-10
HCPS002,1,1,2018-04-11
HCPS002,1,2,2018-04-12
HCPS002,1,3,2018-04-21
HCPS003,1,1,2018-09-07
HCPS003,1,2,2018-09-02
HCPS003,1,3,2018-09-14
HCPS003,1,4,2018-09-08
HCPS004,1,1,2019-01-03
HCPS004,1,2,2019-01-15
HCPS004,1,3,2019-01-16
HCPS004,1,4,2019-01-09
HCPS005,1,1,2018-11-30
HCPS005,2,1,2019-03-20
HCPS006,1,1,
HCPS006,1,2,
HCPS006,1,3,
HCPS007,1,1,2020-05-09
HCPS007,1,2,2020-05-22
HCPS007,1,3,2020-05-29
HCPS007,1,4,2020-05-30
HCPS008,1,1,2019-11-11
HCPS008,1,2,2019-11-17
HCPS009,1,1,2020-04-15
HCPS009,1,2,2020-04-23
HCPS009,1,3,2020-04-27
HCPS009,1,4,2020-05-03
HCPS009,2,1,2020-12-03
HCPS009,2,2,2020-12-17
HCPS009,2,3,2020-12-13
HCPS009,3,1,2020-12-03
HCPS009,3,2,2020-12-09
HCPS009,4,1,2020-12-02
HCPS009,4,2,2020-12-16
HCPS009,4,3,2020-12-21
HCPS009,4,4,2020-12-31
HCPS009,5,1,2020-12-07
HCPS009,6,1,2020-12-03
HCPS010,1,1,2022-07-17
HCPS010,1,2,2022-07-13
HCPS010,1,3,2022-07-18
HCPS011,1,1,2023-06-28
HCPS011,2,1,2023-08-06
HCPS011,2,2,2023-07-31
HCPS011,2,3,2023-07-30
HCPS011,2,4,2023-08-08
IBS01-25-10-01,1,1,2026-03-11
IBS01-25-10-01,1,2,2026-03-19
IBS01-25-10-01,1,3,2026-04-01
IBS01-25-10-01,2,1,2026-03-25
IBS01-25-10-01,2,2,2026-03-24
IBS01-25-10-01,2,3,2026-03-25
IBS01-25-10-01,2,4,2026-04-04
IBS01-25-10-01,3,1,2026-04-02
IBS01-25-10-01,3,2,2026-04-09
IBSD001,1,1,
IBSD001,1,2,
IBSD001,1,3,
IBSD001,1,4,
ICPA001,1,1,2024-05-01
ICPA001,1,2,2024-05-03
ICPA001,2,1,2024-05-20
ICPA001,3,1,2024-05-12
ICPA001,3,2,2024-05-12
ICPA001,3,3,2024-05-08
ICPA001,3,4,2024-05-15
IIA01-25-06-01,1,1,2025-12-11
IIA01-25-06-01,2,1,2026-03-10
IIA01-25-06-01,2,2,2026-03-12
IIA01-25-06-01,3,1,2026-04-07
IIA01-25-06-01,3,2,2026-04-15
IIA01-25-06-01,3,3,2026-04-23
IIA01-25-06-01,4,1,2026-05-08
IIA01-25-06-01,4,2,2026-05-18
INAU005,1,1,2014-12-15
INAU005,1,2,2014-12-14
INAU005,2,1,2014-12-05
INAU005,2,2,2014-12-06
INAU005,3,1,2014-12-13
INAU005,3,2,2014-12-22
INAU005,3,3,2014-12-23
INAU005,3,4,2014-12-16
INAU006,1,1,2014-12-14
INAU006,1,2,2014-12-25
INAU006,1,3,2015-01-05
INAU006,2,1,2014-12-09
INAU006,2,2,2014-12-16
INAU006,2,3,2014-12-26
INAU006,2,4,2015-01-03
INAU006,3,1,2014-12-15
INAU006,3,2,2014-12-25
INAU006,3,3,2015-01-04
INAU007,1,1,2015-08-05
INAU007,1,2,2015-08-08
INAU007,1,3,2015-08-07
INAU007,1,4,2015-08-07
INAU008,1,1,2015-05-28
INAU008,1,2,2015-06-03
INAU008,1,3,2015-05-28
INAU008,1,4,2015-05-31
INAU008,2,1,2015-06-02
INAU008,2,2,2015-06-07
INAU008,2,3,2015-06-21
INAU008,2,4,2015-07-04
INAU008,3,1,2015-06-05
INAU008,3,2,2015-05-30
INAU009,1,1,2016-10-04
INAU009,1,2,2016-10-15
INAU009,2,1,2016-09-21
INAU009,2,2,2016-09-28
INAU009,2,3,2016-09-24
INAU009,3,1,2016-09-18
INAU009,3,2,2016-09-15
INAU009,3,3,2016-09-21
INAU009,3,4,2016-10-04
INAU010,1,1,2016-12-08
INAU010,1,2,2016-12-16
INAU010,2,1,2017-01-18
INAU010,2,2,2017-01-30
INAU010,2,3,2017-02-04
INAU011,1,1,2017-11-02
INAU011,2,1,2017-11-02
INAU011,2,2,2017-11-15
INAU011,2,3,2017-11-23
INAU011,2,4,2017-12-03
INAU012,1,1,2017-07-26
INAU012,2,1,2017-08-14
INAU012,3,1,2017-08-15
INAU012,3,2,2017-08-10
INAU012,3,3,2017-08-16
INAU013,1,1,
INAU014,1,1,2019-12-04
INAU015,1,1,2019-12-02
INAU015,1,2,2019-11-25
INAU015,2,1,2020-01-03
INAU015,3,1,2020-01-02
INAU016,1,1,2022-06-27
INAU016,1,2,2022-07-03
INAU016,1,3,2022-06-30
INAU016,2,1,2022-07-02
INAU016,2,2,2022-07-08
INAU016,3,1,2022-06-21
INAU016,3,2,2022-06-19
INAU016,4,1,2022-07-05
INAU016,5,1,2022-07-05
INAU016,5,2,2022-07-19
INAU016,5,3,2022-07-19
INAU016,5,4,2022-07-27
INAU016,6,1,2022-06-23
INAU016,6,2,2022-06-30
INAU016,7,1,2022-06-30
INAU016,7,2,2022-07-01
INAU016,7,3,2022-07-15
INAU016,8,1,2022-06-30
INAU016,9,1,2022-07-07
INAU016,9,2,2022-07-17
INAU016,9,3,2022-07-15
INAU016,10,1,2022-06-30
INAU016,11,1,2022-07-04
INAU016,11,2,2022-07-06
INAU016,11,3,2022-07-19
INAU016,12,1,2022-06-24
INAU016,12,2,2022-07-01
INAU016,12,3,2022-07-03
INAU016,12,4,2022-07-02
INAU016,13,1,2022-07-01
INAU016,13,2,2022-06-27
INAU016,13,3,2022-06-27
INAU016,13,4,2022-07-02
INAU016,14,1,2022-07-04
INAU016,14,2,2022-07-06
INAU016,14,3,2022-07-08
INAU016,15,1,2022-07-07
INAU016,16,1,2022-06-24
INAU016,16,2,2022-06-17
INAU016,16,3,2022-06-28
INAU016,16,4,2022-07-12
INAU016,17,1,2022-07-05
INAU016,18,1,2022-06-25
INAU016,18,2,2022-06-25
INAU016,18,3,2022-07-07
INAU016,18,4,2022-07-11
INAU016,19,1,2022-07-06
INAU016,19,2,2022-07-05
INAU016,20,1,2022-07-07
INAU016,20,2,2022-07-21
INAU016,20,3,2022-08-04
INAU016,21,1,2022-07-06
INAU016,21,2,2022-07-02
INAU016,22,1,2022-06-25
INAU016,23,1,2022-06-17
INAU016,23,2,2022-06-28
INAU016,23,3,2022-07-02
INAU016,23,4,2022-06-29
INAU016,24,1,2022-06-25
INAU016,25,1,2022-06-29
INAU016,25,2,2022-06-27
INAU016,25,3,2022-06-26
INAU016,,1,2022-07-03
