Job Code,Activity,Date,PIC,File Link,Description
BCDR022,SPK Signed,2016-07-18,IFI,https://company.sharepoint.com/BCDR022/spk_signed.pdf,Final version uploaded
BCDR023,SPK Sent,2017-08-15,NFI,https://company.sharepoint.com/BCDR023/spk_sent.pdf,Waiting for approval
BCDR023,SPK Received,2017-08-23,OMW,https://company.sharepoint.com/BCDR023/spk_received.pdf,Approved
BCDR023,SPK Signed,2017-08-24,DGS,https://company.sharepoint.com/BCDR023/spk_signed.pdf,Signed by client
BCDR024,SPK Sent,2017-07-12,NFI,https://company.sharepoint.com/BCDR024/spk_sent.pdf,Document uploaded
BCDR024,SPK Received,2017-07-19,FYA,https://company.sharepoint.com/BCDR024/spk_received.pdf,Approved
BCDR024,SPK Signed,2017-07-21,IFI,https://company.sharepoint.com/BCDR024/spk_signed.pdf,Internal verification completed
BCDR025,SPK Sent,2017-09-07,NFI,https://company.sharepoint.com/BCDR025/spk_sent.pdf,Document uploaded
BCDR025,SPK Received,2017-09-13,HZR,https://company.sharepoint.com/BCDR025/spk_received.pdf,Approved
BCDR025,SPK Signed,2017-09-14,IFI,https://company.sharepoint.com/BCDR025/spk_signed.pdf,Waiting for approval
BCDR025,Addendum Sent,2017-10-17,DTP,https://company.sharepoint.com/BCDR025/addendum_sent.pdf,Approved
BCDR025,Addendum Received,2017-10-26,AMF,https://company.sharepoint.com/BCDR025/addendum_received.pdf,Signed by client
BCDR025,Addendum Signed,2017-10-27,TLW,https://company.sharepoint.com/BCDR025/addendum_signed.pdf,Waiting for approval
BCDR026,SPK Sent,2018-06-21,DLP,https://company.sharepoint.com/BCDR026/spk_sent.pdf,Waiting for approval
BCDR026,SPK Received,2018-06-27,OMW,https://company.sharepoint.com/BCDR026/spk_received.pdf,Reviewed by Legal
BCDR026,SPK Signed,2018-06-28,IFI,https://company.sharepoint.com/BCDR026/spk_signed.pdf,Approved
BCDR027,SPK Sent,2018-07-07,DTP,https://company.sharepoint.com/BCDR027/spk_sent.pdf,Approved
BCDR027,SPK Received,2018-07-12,FYA,https://company.sharepoint.com/BCDR027/spk_received.pdf,Waiting for approval
BCDR027,SPK Signed,2018-07-16,DLP,https://company.sharepoint.com/BCDR027/spk_signed.pdf,Document uploaded
BCDR028,SPK Sent,2019-02-11,OMW,https://company.sharepoint.com/BCDR028/spk_sent.pdf,Reviewed by Legal
BCDR028,SPK Received,2019-02-17,FYA,https://company.sharepoint.com/BCDR028/spk_received.pdf,Reviewed by Legal
BCDR028,SPK Signed,2019-02-21,OMW,https://company.sharepoint.com/BCDR028/spk_signed.pdf,Reviewed by Legal
BCDR029,SPK Sent,2019-09-22,TLW,https://company.sharepoint.com/BCDR029/spk_sent.pdf,Signed by client
BCDR029,SPK Received,2019-09-28,OMW,https://company.sharepoint.com/BCDR029/spk_received.pdf,Document uploaded
BCDR029,SPK Signed,2019-10-01,AMF,https://company.sharepoint.com/BCDR029/spk_signed.pdf,Document uploaded
BCDR031,SPK Sent,2020-11-30,NFI,https://company.sharepoint.com/BCDR031/spk_sent.pdf,Document uploaded
BCDR031,SPK Received,2020-12-08,DTP,https://company.sharepoint.com/BCDR031/spk_received.pdf,Document uploaded
BCDR031,SPK Signed,2020-12-10,IFS,https://company.sharepoint.com/BCDR031/spk_signed.pdf,Waiting for approval
BCDR032,SPK Sent,2021-01-28,FYA,https://company.sharepoint.com/BCDR032/spk_sent.pdf,Reviewed by Legal
BCDR032,SPK Received,2021-02-02,HZR,https://company.sharepoint.com/BCDR032/spk_received.pdf,Signed by client
BCDR032,SPK Signed,2021-02-03,JQV,https://company.sharepoint.com/BCDR032/spk_signed.pdf,Internal verification completed
BCDR033,SPK Sent,2022-02-06,NFI,https://company.sharepoint.com/BCDR033/spk_sent.pdf,Internal verification completed
BCDR033,SPK Received,2022-02-10,DGS,https://company.sharepoint.com/BCDR033/spk_received.pdf,Internal verification completed
BCDR033,SPK Signed,2022-02-14,FYA,https://company.sharepoint.com/BCDR033/spk_signed.pdf,Approved
BCDR034,SPK Sent,2022-07-26,TSR,https://company.sharepoint.com/BCDR034/spk_sent.pdf,Internal verification completed
BCDR034,SPK Received,2022-07-30,FYA,https://company.sharepoint.com/BCDR034/spk_received.pdf,Internal verification completed
BCDR034,SPK Signed,2022-08-01,IFS,https://company.sharepoint.com/BCDR034/spk_signed.pdf,Waiting for approval
BCDR035,SPK Sent,2023-09-01,JQV,https://company.sharepoint.com/BCDR035/spk_sent.pdf,Waiting for approval
BCDR035,SPK Received,2023-09-10,DGS,https://company.sharepoint.com/BCDR035/spk_received.pdf,Internal verification completed
BCDR035,SPK Signed,2023-09-11,NFI,https://company.sharepoint.com/BCDR035/spk_signed.pdf,Reviewed by Legal
BCDR035,Addendum Sent,2023-12-04,TSR,https://company.sharepoint.com/BCDR035/addendum_sent.pdf,Internal verification completed
BCDR035,Addendum Received,2023-12-10,DLP,https://company.sharepoint.com/BCDR035/addendum_received.pdf,Reviewed by Legal
BCDR035,Addendum Signed,2023-12-14,IFI,https://company.sharepoint.com/BCDR035/addendum_signed.pdf,Waiting for approval
BCDR036,SPK Sent,2024-06-24,AMF,https://company.sharepoint.com/BCDR036/spk_sent.pdf,Approved
BCDR036,SPK Received,2024-06-30,OMW,https://company.sharepoint.com/BCDR036/spk_received.pdf,Waiting for approval
BCDR036,SPK Signed,2024-07-02,DTP,https://company.sharepoint.com/BCDR036/spk_signed.pdf,Reviewed by Legal
BCDR037,SPK Sent,2024-07-11,TLW,https://company.sharepoint.com/BCDR037/spk_sent.pdf,Signed by client
BCDR037,SPK Received,2024-07-17,DTP,https://company.sharepoint.com/BCDR037/spk_received.pdf,Approved
BCDR037,SPK Signed,2024-07-18,DGS,https://company.sharepoint.com/BCDR037/spk_signed.pdf,Reviewed by Legal
BCDR037,Addendum Sent,2024-08-09,TLW,https://company.sharepoint.com/BCDR037/addendum_sent.pdf,Document uploaded
BCDR037,Addendum Received,2024-08-15,DTP,https://company.sharepoint.com/BCDR037/addendum_received.pdf,Final version uploaded
BCDR037,Addendum Signed,2024-08-18,DTP,https://company.sharepoint.com/BCDR037/addendum_signed.pdf,Signed by client
BCDR038,SPK Sent,2024-07-14,WNA,https://company.sharepoint.com/BCDR038/spk_sent.pdf,Signed by client
BCDR038,SPK Received,2024-07-21,IFI,https://company.sharepoint.com/BCDR038/spk_received.pdf,Final version uploaded
BCDR038,SPK Signed,2024-07-24,IFI,https://company.sharepoint.com/BCDR038/spk_signed.pdf,Final version uploaded
BCDR039,SPK Sent,2024-08-15,JQV,https://company.sharepoint.com/BCDR039/spk_sent.pdf,Waiting for approval
BCDR039,SPK Received,2024-08-19,TLW,https://company.sharepoint.com/BCDR039/spk_received.pdf,Approved
BCDR039,SPK Signed,2024-08-20,JQV,https://company.sharepoint.com/BCDR039/spk_signed.pdf,Waiting for approval
BCDR040,SPK Sent,2024-10-27,FYA,https://company.sharepoint.com/BCDR040/spk_sent.pdf,Waiting for approval
BCDR040,SPK Received,2024-11-02,TLW,https://company.sharepoint.com/BCDR040/spk_received.pdf,Document uploaded
BCDR040,SPK Signed,2024-11-05,DGS,https://company.sharepoint.com/BCDR040/spk_signed.pdf,Waiting for approval
BCDR041,SPK Sent,2024-10-24,RLM,https://company.sharepoint.com/BCDR041/spk_sent.pdf,Internal verification completed
BCDR041,SPK Received,2024-10-28,DGS,https://company.sharepoint.com/BCDR041/spk_received.pdf,Final version uploaded
BCDR041,SPK Signed,2024-10-31,HZR,https://company.sharepoint.com/BCDR041/spk_signed.pdf,Final version uploaded
BCDR042,SPK Sent,2025-06-24,IFI,https://company.sharepoint.com/BCDR042/spk_sent.pdf,Approved
BCDR042,SPK Received,2025-06-29,DGS,https://company.sharepoint.com/BCDR042/spk_received.pdf,Reviewed by Legal
BCDR042,SPK Signed,2025-07-03,AMF,https://company.sharepoint.com/BCDR042/spk_signed.pdf,Reviewed by Legal
BCDR042,Addendum Sent,2025-10-19,TSR,https://company.sharepoint.com/BCDR042/addendum_sent.pdf,Approved
BCDR042,Addendum Received,2025-10-27,DTP,https://company.sharepoint.com/BCDR042/addendum_received.pdf,Reviewed by Legal
BCDR042,Addendum Signed,2025-10-28,IFS,https://company.sharepoint.com/BCDR042/addendum_signed.pdf,Internal verification completed
BCDR043,SPK Sent,2025-07-07,JQV,https://company.sharepoint.com/BCDR043/spk_sent.pdf,Document uploaded
BCDR043,SPK Received,2025-07-13,NFI,https://company.sharepoint.com/BCDR043/spk_received.pdf,Approved
BCDR043,SPK Signed,2025-07-17,AMF,https://company.sharepoint.com/BCDR043/spk_signed.pdf,Document uploaded
BCDR044,SPK Sent,2026-02-25,HZR,https://company.sharepoint.com/BCDR044/spk_sent.pdf,Signed by client
BCDR044,SPK Received,2026-02-28,IFI,https://company.sharepoint.com/BCDR044/spk_received.pdf,Waiting for approval
BCDR044,SPK Signed,2026-03-04,HZR,https://company.sharepoint.com/BCDR044/spk_signed.pdf,Internal verification completed
BCSP001,SPK Sent,2014-01-27,OMW,https://company.sharepoint.com/BCSP001/spk_sent.pdf,Waiting for approval
BCSP001,SPK Received,2014-01-31,FYA,https://company.sharepoint.com/BCSP001/spk_received.pdf,Reviewed by Legal
BCSP001,SPK Signed,2014-02-03,DTP,https://company.sharepoint.com/BCSP001/spk_signed.pdf,Signed by client
BCSP002,SPK Sent,2014-09-22,DLP,https://company.sharepoint.com/BCSP002/spk_sent.pdf,Approved
BCSP002,SPK Received,2014-09-28,RLM,https://company.sharepoint.com/BCSP002/spk_received.pdf,Approved
BCSP002,SPK Signed,2014-10-01,IFS,https://company.sharepoint.com/BCSP002/spk_signed.pdf,Final version uploaded
BCSP003,SPK Sent,2015-08-20,TLW,https://company.sharepoint.com/BCSP003/spk_sent.pdf,Internal verification completed
BCSP003,SPK Received,2015-08-24,IFI,https://company.sharepoint.com/BCSP003/spk_received.pdf,Signed by client
BCSP003,SPK Signed,2015-08-27,FYA,https://company.sharepoint.com/BCSP003/spk_signed.pdf,Signed by client
BCSP003,Addendum Sent,2015-09-19,WNA,https://company.sharepoint.com/BCSP003/addendum_sent.pdf,Internal verification completed
BCSP003,Addendum Received,2015-09-25,IFI,https://company.sharepoint.com/BCSP003/addendum_received.pdf,Waiting for approval
BCSP003,Addendum Signed,2015-09-27,TLW,https://company.sharepoint.com/BCSP003/addendum_signed.pdf,Waiting for approval
BCSP004,SPK Sent,2015-08-27,DGS,https://company.sharepoint.com/BCSP004/spk_sent.pdf,Signed by client
BCSP004,SPK Received,2015-08-29,DLP,https://company.sharepoint.com/BCSP004/spk_received.pdf,Document uploaded
BCSP004,SPK Signed,2015-09-01,TLW,https://company.sharepoint.com/BCSP004/spk_signed.pdf,Waiting for approval
BCSP004,Addendum Sent,2015-09-30,DTP,https://company.sharepoint.com/BCSP004/addendum_sent.pdf,Approved
BCSP004,Addendum Received,2015-10-03,TSR,https://company.sharepoint.com/BCSP004/addendum_received.pdf,Internal verification completed
BCSP004,Addendum Signed,2015-10-06,DGS,https://company.sharepoint.com/BCSP004/addendum_signed.pdf,Document uploaded
BCSP005,SPK Sent,2016-06-18,DLP,https://company.sharepoint.com/BCSP005/spk_sent.pdf,Internal verification completed
BCSP005,SPK Received,2016-06-20,FYA,https://company.sharepoint.com/BCSP005/spk_received.pdf,Reviewed by Legal
BCSP005,SPK Signed,2016-06-23,JQV,https://company.sharepoint.com/BCSP005/spk_signed.pdf,Reviewed by Legal
BCSP005,Addendum Sent,2016-08-19,OMW,https://company.sharepoint.com/BCSP005/addendum_sent.pdf,Signed by client
BCSP005,Addendum Received,2016-08-26,HZR,https://company.sharepoint.com/BCSP005/addendum_received.pdf,Document uploaded
BCSP005,Addendum Signed,2016-08-28,FYA,https://company.sharepoint.com/BCSP005/addendum_signed.pdf,Reviewed by Legal
BCSP006,SPK Sent,2021-04-18,NFI,https://company.sharepoint.com/BCSP006/spk_sent.pdf,Final version uploaded
BCSP006,SPK Received,2021-04-19,AMF,https://company.sharepoint.com/BCSP006/spk_received.pdf,Internal verification completed
BCSP006,SPK Signed,2021-04-23,OMW,https://company.sharepoint.com/BCSP006/spk_signed.pdf,Approved
BCSP007,SPK Sent,2021-07-01,HZR,https://company.sharepoint.com/BCSP007/spk_sent.pdf,Waiting for approval
BCSP007,SPK Received,2021-07-08,IFS,https://company.sharepoint.com/BCSP007/spk_received.pdf,Waiting for approval
BCSP007,SPK Signed,2021-07-09,IFI,https://company.sharepoint.com/BCSP007/spk_signed.pdf,Signed by client
BDN01-25-12-02,SPK Sent,2025-12-17,WNA,https://company.sharepoint.com/BDN01-25-12-02/spk_sent.pdf,Waiting for approval
BDN01-25-12-02,SPK Received,2025-12-21,NFI,https://company.sharepoint.com/BDN01-25-12-02/spk_received.pdf,Signed by client
BDN01-25-12-02,SPK Signed,2025-12-22,OMW,https://company.sharepoint.com/BDN01-25-12-02/spk_signed.pdf,Reviewed by Legal
BDN01-25-12-02,Addendum Sent,2026-02-05,DGS,https://company.sharepoint.com/BDN01-25-12-02/addendum_sent.pdf,Document uploaded
BDN01-25-12-02,Addendum Received,2026-02-13,DTP,https://company.sharepoint.com/BDN01-25-12-02/addendum_received.pdf,Waiting for approval
BDN01-25-12-02,Addendum Signed,2026-02-15,AMF,https://company.sharepoint.com/BDN01-25-12-02/addendum_signed.pdf,Document uploaded
BPIR004,SPK Sent,2015-11-16,IFI,https://company.sharepoint.com/BPIR004/spk_sent.pdf,Internal verification completed
BPIR004,SPK Received,2015-11-21,RLM,https://company.sharepoint.com/BPIR004/spk_received.pdf,Reviewed by Legal
BPIR004,SPK Signed,2015-11-24,FYA,https://company.sharepoint.com/BPIR004/spk_signed.pdf,Reviewed by Legal
BPIR005,SPK Sent,2016-07-14,DLP,https://company.sharepoint.com/BPIR005/spk_sent.pdf,Waiting for approval
BPIR005,SPK Received,2016-07-20,IFS,https://company.sharepoint.com/BPIR005/spk_received.pdf,Internal verification completed
BPIR005,SPK Signed,2016-07-22,TLW,https://company.sharepoint.com/BPIR005/spk_signed.pdf,Signed by client
BPIR008,SPK Sent,2017-08-10,DGS,https://company.sharepoint.com/BPIR008/spk_sent.pdf,Approved
BPIR008,SPK Received,2017-08-12,DLP,https://company.sharepoint.com/BPIR008/spk_received.pdf,Reviewed by Legal
BPIR008,SPK Signed,2017-08-16,WNA,https://company.sharepoint.com/BPIR008/spk_signed.pdf,Approved
BPIR009,SPK Sent,2017-04-21,AMF,https://company.sharepoint.com/BPIR009/spk_sent.pdf,Internal verification completed
BPIR009,SPK Received,2017-04-28,TSR,https://company.sharepoint.com/BPIR009/spk_received.pdf,Approved
BPIR009,SPK Signed,2017-05-01,TSR,https://company.sharepoint.com/BPIR009/spk_signed.pdf,Approved
BPIR010,SPK Sent,2018-12-10,TLW,https://company.sharepoint.com/BPIR010/spk_sent.pdf,Document uploaded
BPIR010,SPK Received,2018-12-14,HZR,https://company.sharepoint.com/BPIR010/spk_received.pdf,Signed by client
BPIR010,SPK Signed,2018-12-18,DTP,https://company.sharepoint.com/BPIR010/spk_signed.pdf,Final version uploaded
BPIR010A,SPK Sent,2018-12-10,IFS,https://company.sharepoint.com/BPIR010A/spk_sent.pdf,Waiting for approval
BPIR010A,SPK Received,2018-12-17,RLM,https://company.sharepoint.com/BPIR010A/spk_received.pdf,Reviewed by Legal
BPIR010A,SPK Signed,2018-12-18,IFS,https://company.sharepoint.com/BPIR010A/spk_signed.pdf,Signed by client
BPIR011,SPK Sent,2020-10-08,HZR,https://company.sharepoint.com/BPIR011/spk_sent.pdf,Signed by client
BPIR011,SPK Received,2020-10-13,HZR,https://company.sharepoint.com/BPIR011/spk_received.pdf,Waiting for approval
BPIR011,SPK Signed,2020-10-15,DTP,https://company.sharepoint.com/BPIR011/spk_signed.pdf,Final version uploaded
BPIR012,SPK Sent,2023-09-03,DTP,https://company.sharepoint.com/BPIR012/spk_sent.pdf,Approved
BPIR012,SPK Received,2023-09-09,RLM,https://company.sharepoint.com/BPIR012/spk_received.pdf,Final version uploaded
BPIR012,SPK Signed,2023-09-11,DGS,https://company.sharepoint.com/BPIR012/spk_signed.pdf,Signed by client
BRJ01-25-11-01,SPK Sent,2025-11-26,DLP,https://company.sharepoint.com/BRJ01-25-11-01/spk_sent.pdf,Waiting for approval
BRJ01-25-11-01,SPK Received,2025-12-03,JQV,https://company.sharepoint.com/BRJ01-25-11-01/spk_received.pdf,Approved
BRJ01-25-11-01,SPK Signed,2025-12-05,WNA,https://company.sharepoint.com/BRJ01-25-11-01/spk_signed.pdf,Signed by client
BSOP002,SPK Sent,2013-03-31,TSR,https://company.sharepoint.com/BSOP002/spk_sent.pdf,Signed by client
BSOP002,SPK Received,2013-04-07,DLP,https://company.sharepoint.com/BSOP002/spk_received.pdf,Final version uploaded
BSOP002,SPK Signed,2013-04-08,FYA,https://company.sharepoint.com/BSOP002/spk_signed.pdf,Signed by client
BSOP002,Addendum Sent,2013-06-01,TLW,https://company.sharepoint.com/BSOP002/addendum_sent.pdf,Internal verification completed
BSOP002,Addendum Received,2013-06-10,TSR,https://company.sharepoint.com/BSOP002/addendum_received.pdf,Final version uploaded
BSOP002,Addendum Signed,2013-06-11,DTP,https://company.sharepoint.com/BSOP002/addendum_signed.pdf,Document uploaded
BSOP004,SPK Sent,2013-08-09,WNA,https://company.sharepoint.com/BSOP004/spk_sent.pdf,Reviewed by Legal
BSOP004,SPK Received,2013-08-18,WNA,https://company.sharepoint.com/BSOP004/spk_received.pdf,Internal verification completed
BSOP004,SPK Signed,2013-08-19,TLW,https://company.sharepoint.com/BSOP004/spk_signed.pdf,Reviewed by Legal
BSOP005,SPK Sent,2013-09-24,FYA,https://company.sharepoint.com/BSOP005/spk_sent.pdf,Internal verification completed
BSOP005,SPK Received,2013-09-28,HZR,https://company.sharepoint.com/BSOP005/spk_received.pdf,Document uploaded
BSOP005,SPK Signed,2013-09-30,RLM,https://company.sharepoint.com/BSOP005/spk_signed.pdf,Approved
BSOP006,SPK Sent,2013-10-19,WNA,https://company.sharepoint.com/BSOP006/spk_sent.pdf,Document uploaded
BSOP006,SPK Received,2013-10-26,NFI,https://company.sharepoint.com/BSOP006/spk_received.pdf,Reviewed by Legal
BSOP006,SPK Signed,2013-10-28,DLP,https://company.sharepoint.com/BSOP006/spk_signed.pdf,Approved
BSOP006,Addendum Sent,2013-11-21,DTP,https://company.sharepoint.com/BSOP006/addendum_sent.pdf,Final version uploaded
BSOP006,Addendum Received,2013-11-26,WNA,https://company.sharepoint.com/BSOP006/addendum_received.pdf,Approved
BSOP006,Addendum Signed,2013-11-27,OMW,https://company.sharepoint.com/BSOP006/addendum_signed.pdf,Document uploaded
BSOP007,SPK Sent,2014-02-05,IFI,https://company.sharepoint.com/BSOP007/spk_sent.pdf,Final version uploaded
BSOP007,SPK Received,2014-02-07,NFI,https://company.sharepoint.com/BSOP007/spk_received.pdf,Final version uploaded
BSOP007,SPK Signed,2014-02-10,DGS,https://company.sharepoint.com/BSOP007/spk_signed.pdf,Signed by client
BSOP008,SPK Sent,2015-04-30,IFS,https://company.sharepoint.com/BSOP008/spk_sent.pdf,Document uploaded
BSOP008,SPK Received,2015-05-03,OMW,https://company.sharepoint.com/BSOP008/spk_received.pdf,Reviewed by Legal
BSOP008,SPK Signed,2015-05-07,AMF,https://company.sharepoint.com/BSOP008/spk_signed.pdf,Document uploaded
BSOP009,SPK Sent,2015-11-04,AMF,https://company.sharepoint.com/BSOP009/spk_sent.pdf,Reviewed by Legal
BSOP009,SPK Received,2015-11-08,IFI,https://company.sharepoint.com/BSOP009/spk_received.pdf,Signed by client
BSOP009,SPK Signed,2015-11-10,JQV,https://company.sharepoint.com/BSOP009/spk_signed.pdf,Internal verification completed
BSOP010,SPK Sent,2015-11-01,FYA,https://company.sharepoint.com/BSOP010/spk_sent.pdf,Waiting for approval
BSOP010,SPK Received,2015-11-08,AMF,https://company.sharepoint.com/BSOP010/spk_received.pdf,Document uploaded
BSOP010,SPK Signed,2015-11-10,IFS,https://company.sharepoint.com/BSOP010/spk_signed.pdf,Approved
