Job Code,Term,Activity,Date,PIC,Description
BCDR025,2,Invoice Sent,2017-11-04,DGS,Invoice successfully paid
BCDR025,2,Invoice Billed,2017-11-10,NVN,Invoice verified
BCDR025,3,Invoice Sent,2017-12-16,TSR,Invoice issued to client
BCDR025,3,Invoice Billed,2017-12-30,SHS,Payment confirmation received
BCDR025,3,Invoice Paid,2018-01-24,AMF,Invoice issued to client
BCDR026,1,Invoice Sent,2018-08-08,SHS,Invoice successfully paid
BCDR027,1,Invoice Sent,2018-09-19,AOW,Invoice successfully paid
BCDR027,2,Invoice Sent,2018-10-19,AOW,Invoice successfully paid
BCDR027,2,Invoice Billed,2018-10-30,OMW,Finance approval completed
BCDR028,1,Invoice Sent,2019-05-06,MRK,Payment confirmation received
BCDR028,1,Invoice Billed,2019-05-12,SSM,Finance approval completed
BCDR028,1,Invoice Paid,2019-06-08,OMW,Finance approval completed
BCDR028,2,Invoice Sent,2019-05-01,DGS,Finance approval completed
BCDR028,2,Invoice Billed,2019-05-12,AMF,Invoice successfully paid
BCDR028,3,Invoice Sent,2019-06-06,SHS,Finance approval completed
BCDR028,3,Invoice Billed,2019-06-15,RLM,Finance approval completed
BCDR028,3,Invoice Paid,2019-07-01,RLM,Invoice issued to client
BCDR029,1,Invoice Sent,2020-01-03,NVN,Payment confirmation received
BCDR029,1,Invoice Billed,2020-01-08,SSM,Invoice issued to client
BCDR029,1,Invoice Paid,2020-02-12,DGS,Invoice successfully paid
BCDR030,1,Invoice Sent,,OMW,Invoice issued to client
BCDR030,1,Invoice Billed,,RLM,Finance approval completed
BCDR030,1,Invoice Paid,,AOW,Invoice verified
BCDR030,2,Invoice Sent,,DGS,Invoice verified
BCDR030,2,Invoice Billed,,OMW,Finance approval completed
BCDR030,2,Invoice Paid,,OMW,Invoice verified
BCDR030,3,Invoice Sent,,MRK,Invoice verified
BCDR030,4,Invoice Sent,,AMF,Payment confirmation received
BCDR030,4,Invoice Billed,,RLM,Invoice verified
BCDR031,1,Invoice Sent,2021-05-15,AMF,Invoice issued to client
BCDR031,1,Invoice Billed,2021-05-26,OMW,Invoice verified
BCDR031,1,Invoice Paid,2021-06-04,MRK,Invoice issued to client
BCDR032,1,Invoice Sent,2021-07-23,OMW,Invoice verified
BCDR032,1,Invoice Billed,2021-07-26,MRK,Finance approval completed
BCDR032,1,Invoice Paid,2021-08-29,SHS,Invoice issued to client
BCDR032,2,Invoice Sent,2021-06-02,TSR,Finance approval completed
BCDR032,2,Invoice Billed,2021-06-14,AMF,Payment confirmation received
BCDR032,2,Invoice Paid,2021-06-28,TSR,Finance approval completed
BCDR032,3,Invoice Sent,2021-08-24,AOW,Invoice verified
BCDR032,3,Invoice Billed,2021-08-28,AOW,Invoice issued to client
BCDR033,1,Invoice Sent,2022-06-02,AMF,Invoice successfully paid
BCDR034,1,Invoice Sent,2022-12-07,OMW,Invoice issued to client
BCDR034,1,Invoice Billed,2022-12-10,SSM,Invoice successfully paid
BCDR034,1,Invoice Paid,2023-01-21,DGS,Invoice verified
BCDR034,2,Invoice Sent,2022-12-04,AOW,Payment confirmation received
BCDR034,2,Invoice Billed,2022-12-16,NVN,Invoice issued to client
BCDR034,2,Invoice Paid,2023-01-04,TSR,Payment confirmation received
BCDR034,3,Invoice Sent,2022-12-08,SHS,Invoice verified
BCDR034,3,Invoice Billed,2022-12-15,NVN,Finance approval completed
BCDR034,3,Invoice Paid,2022-12-26,NVN,Invoice issued to client
BCDR035,1,Invoice Sent,2023-09-10,TSR,Payment confirmation received
BCDR035,1,Invoice Billed,2023-09-23,SHS,Payment confirmation received
BCDR035,1,Invoice Paid,2023-10-04,TSR,Payment confirmation received
BCDR035,2,Invoice Sent,2023-10-19,AOW,Invoice issued to client
BCDR035,2,Invoice Billed,2023-11-02,OMW,Invoice successfully paid
BCDR035,2,Invoice Paid,2023-12-07,AMF,Invoice successfully paid
BCDR035,3,Invoice Sent,2023-10-24,SHS,Finance approval completed
BCDR035,3,Invoice Billed,2023-11-05,AOW,Finance approval completed
BCDR035,3,Invoice Paid,2023-12-15,RLM,Invoice issued to client
BCDR035,4,Invoice Sent,2023-12-07,AMF,Invoice verified
BCDR035,4,Invoice Billed,2023-12-18,OMW,Invoice successfully paid
BCDR035,4,Invoice Paid,2024-01-18,AMF,Finance approval completed
BCDR035,5,Invoice Sent,2024-03-16,RLM,Payment confirmation received
BCDR035,5,Invoice Billed,2024-03-28,SSM,Invoice issued to client
BCDR035,5,Invoice Paid,2024-05-08,SHS,Finance approval completed
BCDR036,1,Invoice Sent,2024-12-04,AMF,Finance approval completed
BCDR036,1,Invoice Billed,2024-12-15,SSM,Finance approval completed
BCDR036,1,Invoice Paid,2024-12-23,NVN,Finance approval completed
BCDR037,1,Invoice Sent,2024-12-03,DGS,Invoice successfully paid
BCDR037,1,Invoice Billed,2024-12-07,RLM,Payment confirmation received
BCDR038,1,Invoice Sent,2024-08-24,RLM,Invoice verified
BCDR038,1,Invoice Billed,2024-08-28,DGS,Payment confirmation received
BCDR038,2,Invoice Sent,2024-11-08,NVN,Payment confirmation received
BCDR038,2,Invoice Billed,2024-11-21,AMF,Finance approval completed
BCDR038,2,Invoice Paid,2024-12-09,SHS,Invoice issued to client
BCDR039,1,Invoice Sent,2024-12-04,MRK,Finance approval completed
BCDR039,1,Invoice Billed,2024-12-16,NVN,Invoice verified
BCDR039,2,Invoice Sent,2025-01-13,SSM,Invoice successfully paid
BCDR039,2,Invoice Billed,2025-01-21,MRK,Payment confirmation received
BCDR039,2,Invoice Paid,2025-02-15,MRK,Invoice verified
BCDR039,3,Invoice Sent,2025-02-10,AOW,Payment confirmation received
BCDR039,3,Invoice Billed,2025-02-14,MRK,Finance approval completed
BCDR039,3,Invoice Paid,2025-03-28,DGS,Invoice successfully paid
BCDR040,1,Invoice Sent,2025-02-18,RLM,Finance approval completed
BCDR040,1,Invoice Billed,2025-02-23,SHS,Invoice successfully paid
BCDR040,1,Invoice Paid,2025-03-11,RLM,Payment confirmation received
BCDR040,2,Invoice Sent,2025-03-05,AMF,Finance approval completed
BCDR040,2,Invoice Billed,2025-03-08,AOW,Invoice successfully paid
BCDR040,2,Invoice Paid,2025-03-23,MRK,Finance approval completed
BCDR040,3,Invoice Sent,2025-02-01,AOW,Invoice successfully paid
BCDR040,3,Invoice Billed,2025-02-04,NVN,Payment confirmation received
BCDR040,3,Invoice Paid,2025-02-19,TSR,Finance approval completed
BCDR040,4,Invoice Sent,2025-02-28,DGS,Invoice successfully paid
BCDR040,4,Invoice Billed,2025-03-03,RLM,Invoice issued to client
BCDR041,1,Invoice Sent,2024-11-30,MRK,Payment confirmation received
BCDR041,1,Invoice Billed,2024-12-14,NVN,Payment confirmation received
BCDR041,1,Invoice Paid,2024-12-24,SSM,Invoice verified
BCDR041,2,Invoice Sent,2024-12-08,DGS,Invoice successfully paid
BCDR041,2,Invoice Billed,2024-12-18,DGS,Finance approval completed
BCDR041,2,Invoice Paid,2025-01-29,RLM,Invoice successfully paid
BCDR041,3,Invoice Sent,2024-12-12,AOW,Invoice issued to client
BCDR041,3,Invoice Billed,2024-12-22,AMF,Finance approval completed
BCDR041,3,Invoice Paid,2025-01-14,SSM,Invoice verified
BCDR041,4,Invoice Sent,2024-12-07,DGS,Payment confirmation received
BCDR041,4,Invoice Billed,2024-12-18,NVN,Invoice issued to client
BCDR041,4,Invoice Paid,2024-12-28,NVN,Finance approval completed
BCDR042,1,Invoice Sent,2025-12-06,TSR,Invoice issued to client
BCDR042,1,Invoice Billed,2025-12-14,TSR,Finance approval completed
BCDR042,1,Invoice Paid,2026-01-19,MRK,Invoice issued to client
BCDR043,1,Invoice Sent,2025-11-03,DGS,Payment confirmation received
BCDR043,1,Invoice Billed,2025-11-06,NVN,Invoice verified
BCDR043,2,Invoice Sent,2025-11-07,SSM,Invoice issued to client
BCDR043,2,Invoice Billed,2025-11-12,OMW,Invoice issued to client
BCDR043,2,Invoice Paid,2025-11-23,SHS,Finance approval completed
BCDR044,1,Invoice Sent,2026-05-28,TSR,Invoice issued to client
BCSP001,1,Invoice Sent,2014-03-08,MRK,Finance approval completed
BCSP001,1,Invoice Billed,2014-03-15,AMF,Invoice successfully paid
BCSP001,1,Invoice Paid,2014-04-05,DGS,Finance approval completed
BCSP001,2,Invoice Sent,2014-03-10,SSM,Payment confirmation received
BCSP001,2,Invoice Billed,2014-03-22,OMW,Payment confirmation received
BCSP001,2,Invoice Paid,2014-05-06,AOW,Invoice successfully paid
BCSP002,1,Invoice Sent,2015-02-28,MRK,Payment confirmation received
BCSP002,1,Invoice Billed,2015-03-04,RLM,Finance approval completed
BCSP002,2,Invoice Sent,2015-02-11,OMW,Invoice successfully paid
BCSP002,2,Invoice Billed,2015-02-15,OMW,Invoice issued to client
BCSP002,2,Invoice Paid,2015-03-15,TSR,Invoice verified
BCSP003,1,Invoice Sent,2016-01-03,AMF,Finance approval completed
BCSP003,1,Invoice Billed,2016-01-16,DGS,Invoice issued to client
BCSP003,1,Invoice Paid,2016-02-10,OMW,Invoice successfully paid
BCSP003,2,Invoice Sent,2016-01-04,AOW,Finance approval completed
BCSP003,2,Invoice Billed,2016-01-10,NVN,Invoice verified
BCSP003,2,Invoice Paid,2016-01-20,SHS,Invoice successfully paid
BCSP003,3,Invoice Sent,2016-01-05,SHS,Invoice issued to client
BCSP003,3,Invoice Billed,2016-01-15,OMW,Finance approval completed
BCSP003,3,Invoice Paid,2016-02-07,AOW,Finance approval completed
BCSP004,1,Invoice Sent,2016-01-04,OMW,Finance approval completed
BCSP004,1,Invoice Billed,2016-01-09,NVN,Invoice verified
BCSP004,1,Invoice Paid,2016-02-04,SHS,Invoice verified
BCSP004,2,Invoice Sent,2016-01-04,TSR,Invoice successfully paid
BCSP004,2,Invoice Billed,2016-01-14,SSM,Invoice successfully paid
BCSP004,2,Invoice Paid,2016-02-15,NVN,Payment confirmation received
BCSP005,1,Invoice Sent,2016-09-05,NVN,Invoice successfully paid
BCSP005,1,Invoice Billed,2016-09-14,DGS,Invoice verified
BCSP005,1,Invoice Paid,2016-09-21,RLM,Invoice issued to client
BCSP006,1,Invoice Sent,2021-09-08,NVN,Invoice successfully paid
BCSP006,1,Invoice Billed,2021-09-18,AOW,Invoice issued to client
BCSP006,1,Invoice Paid,2021-11-02,MRK,Invoice verified
BCSP007,1,Invoice Sent,2021-09-01,MRK,Invoice issued to client
BCSP007,1,Invoice Billed,2021-09-12,SHS,Invoice issued to client
BCSP007,1,Invoice Paid,2021-09-20,DGS,Invoice successfully paid
BCSP007,2,Invoice Sent,2021-09-07,AOW,Payment confirmation received
BCSP007,2,Invoice Billed,2021-09-10,DGS,Invoice verified
BCSP007,2,Invoice Paid,2021-10-12,RLM,Invoice successfully paid
BCSP008,1,Invoice Sent,2023-12-02,NVN,Invoice successfully paid
BCSP008,1,Invoice Billed,2023-12-06,DGS,Invoice issued to client
BDK01-25-10-01,1,Invoice Sent,2026-01-18,DGS,Invoice verified
BDK01-25-10-01,1,Invoice Billed,2026-01-26,RLM,Invoice successfully paid
BDK01-25-10-01,2,Invoice Sent,2026-01-13,TSR,Invoice verified
BDK01-25-10-01,2,Invoice Billed,2026-01-27,TSR,Invoice issued to client
BDK01-25-10-01,2,Invoice Paid,2026-02-24,OMW,Invoice verified
BDK01-25-10-01,3,Invoice Sent,2026-01-15,RLM,Invoice successfully paid
BDK01-25-10-01,3,Invoice Billed,2026-01-27,NVN,Invoice issued to client
BDK01-25-10-01,3,Invoice Paid,2026-02-05,SSM,Invoice issued to client
BDN01-25-12-02,1,Invoice Sent,2026-01-16,SSM,Invoice verified
BDN01-25-12-02,1,Invoice Billed,2026-01-26,RLM,Finance approval completed
BDN01-25-12-02,1,Invoice Paid,2026-02-24,RLM,Invoice successfully paid
BPIR004,1,Invoice Sent,2015-12-14,TSR,Invoice verified
BPIR004,1,Invoice Billed,2015-12-18,TSR,Invoice issued to client
BPIR005,1,Invoice Sent,2016-11-21,RLM,Invoice verified
BPIR005,2,Invoice Sent,2016-11-25,TSR,Invoice verified
BPIR005,2,Invoice Billed,2016-12-07,MRK,Invoice issued to client
BPIR005,2,Invoice Paid,2016-12-22,TSR,Invoice verified
BPIR005,3,Invoice Sent,2016-12-07,TSR,Finance approval completed
BPIR005,3,Invoice Billed,2016-12-14,MRK,Invoice issued to client
BPIR005,3,Invoice Paid,2016-12-27,OMW,Invoice successfully paid
BPIR006,1,Invoice Sent,,RLM,Invoice verified
BPIR007,1,Invoice Sent,,NVN,Invoice verified
BPIR008,1,Invoice Sent,2018-03-03,RLM,Invoice successfully paid
BPIR008,1,Invoice Billed,2018-03-11,SHS,Invoice issued to client
BPIR008,1,Invoice Paid,2018-04-13,SSM,Finance approval completed
BPIR008,2,Invoice Sent,2017-10-07,TSR,Invoice issued to client
BPIR008,2,Invoice Billed,2017-10-16,AMF,Invoice issued to client
BPIR008,2,Invoice Paid,2017-11-16,SSM,Payment confirmation received
BPIR008,3,Invoice Sent,2017-11-03,TSR,Invoice verified
BPIR008,4,Invoice Sent,2017-12-05,AOW,Invoice verified
BPIR008,4,Invoice Billed,2017-12-11,OMW,Finance approval completed
BPIR008,4,Invoice Paid,2018-01-06,RLM,Invoice successfully paid
BPIR008,5,Invoice Sent,2018-01-05,OMW,Invoice issued to client
BPIR008,5,Invoice Billed,2018-01-15,SSM,Payment confirmation received
BPIR008,5,Invoice Paid,2018-02-01,NVN,Invoice successfully paid
BPIR008,6,Invoice Sent,2018-02-01,OMW,Invoice verified
BPIR008,6,Invoice Billed,2018-02-04,MRK,Payment confirmation received
BPIR008,6,Invoice Paid,2018-03-07,NVN,Invoice successfully paid
BPIR009,1,Invoice Sent,2017-08-03,SHS,Invoice verified
BPIR009,1,Invoice Billed,2017-08-13,AMF,Invoice successfully paid
BPIR009,1,Invoice Paid,2017-08-23,DGS,Finance approval completed
BPIR009,2,Invoice Sent,2017-08-07,DGS,Invoice verified
BPIR009,2,Invoice Billed,2017-08-14,NVN,Invoice issued to client
BPIR009,2,Invoice Paid,2017-08-23,RLM,Invoice issued to client
BPIR010,1,Invoice Sent,2019-12-23,SHS,Invoice issued to client
BPIR010,1,Invoice Billed,2019-12-26,AMF,Finance approval completed
BPIR010A,1,Invoice Sent,2019-03-15,AOW,Invoice verified
BPIR010A,1,Invoice Billed,2019-03-19,MRK,Payment confirmation received
BPIR010A,1,Invoice Paid,2019-04-09,DGS,Finance approval completed
BPIR010A,2,Invoice Sent,2019-01-19,AOW,Invoice successfully paid
BPIR010A,3,Invoice Sent,2019-04-18,NVN,Finance approval completed
BPIR010A,3,Invoice Billed,2019-04-29,SSM,Invoice successfully paid
BPIR010A,4,Invoice Sent,2019-03-02,DGS,Invoice issued to client
BPIR010A,4,Invoice Billed,2019-03-16,RLM,Payment confirmation received
BPIR010A,4,Invoice Paid,2019-04-17,TSR,Invoice verified
BPIR011,1,Invoice Sent,2021-02-25,OMW,Payment confirmation received
BPIR011,1,Invoice Billed,2021-03-02,TSR,Invoice verified
BPIR011,1,Invoice Paid,2021-03-31,AMF,Invoice verified
BPIR011,2,Invoice Sent,2021-02-19,AOW,Payment confirmation received
BPIR012,1,Invoice Sent,2024-02-18,RLM,Invoice verified
BPIR012,1,Invoice Billed,2024-02-28,MRK,Invoice issued to client
BPIR012,1,Invoice Paid,2024-03-16,OMW,Finance approval completed
BPIR012,2,Invoice Sent,2024-03-30,DGS,Invoice verified
BPIR012,2,Invoice Billed,2024-04-04,MRK,Finance approval completed
BPIR012,2,Invoice Paid,2024-04-21,MRK,Invoice successfully paid
BPIR012,3,Invoice Sent,2024-05-05,MRK,Finance approval completed
BPIR012,3,Invoice Billed,2024-05-15,TSR,Invoice successfully paid
BPIR012,3,Invoice Paid,2024-06-18,MRK,Invoice issued to client
BRJ01-25-11-01,1,Invoice Sent,2026-04-14,SHS,Invoice verified
BRJ01-25-11-01,1,Invoice Billed,2026-04-22,AMF,Finance approval completed
BRJ01-25-11-01,1,Invoice Paid,2026-06-05,NVN,Finance approval completed
BRJ01-25-11-01,2,Invoice Sent,2026-04-12,SSM,Payment confirmation received
BRJ01-25-11-01,2,Invoice Billed,2026-04-26,MRK,Payment confirmation received
BRJ01-25-11-01,2,Invoice Paid,2026-05-05,TSR,Invoice successfully paid
BRJ01-25-11-01,3,Invoice Sent,2026-03-07,SSM,Finance approval completed
BRJ01-25-11-01,3,Invoice Billed,2026-03-21,RLM,Invoice verified
BRJ01-25-11-01,3,Invoice Paid,2026-04-21,RLM,Invoice verified
BSOP002,1,Invoice Sent,2013-12-13,RLM,Payment confirmation received
BSOP002,1,Invoice Billed,2013-12-24,AOW,Invoice successfully paid
BSOP002,2,Invoice Sent,2013-12-11,TSR,Invoice issued to client
BSOP002,3,Invoice Sent,2013-12-10,DGS,Payment confirmation received
BSOP002,3,Invoice Billed,2013-12-13,DGS,Finance approval completed
BSOP002,3,Invoice Paid,2014-01-07,AMF,Invoice verified
BSOP002,4,Invoice Sent,2013-12-14,OMW,Invoice verified
BSOP002,4,Invoice Billed,2013-12-19,TSR,Invoice successfully paid
BSOP002,4,Invoice Paid,2014-01-12,SSM,Invoice successfully paid
BSOP002,5,Invoice Sent,2013-12-14,OMW,Invoice verified
BSOP003,1,Invoice Sent,,AMF,Invoice issued to client
BSOP003,1,Invoice Billed,,RLM,Finance approval completed
BSOP003,1,Invoice Paid,,DGS,Invoice issued to client
BSOP004,1,Invoice Sent,2013-11-24,TSR,Invoice verified
BSOP004,2,Invoice Sent,2013-11-25,DGS,Invoice verified
BSOP004,2,Invoice Billed,2013-11-30,SSM,Payment confirmation received
BSOP004,2,Invoice Paid,2013-12-15,MRK,Invoice verified
BSOP004,3,Invoice Sent,2013-11-25,OMW,Invoice issued to client
