Job Code,Term,Baseline Date
BSOP022,2,2023-12-30
BSOP023,1,2023-11-03
BSOP023,2,2023-12-08
BSOP023,3,2023-12-22
BSOP023,4,2023-12-29
BSOP024,1,2026-06-15
BSOP024,2,
BSOP024,3,
BSOP024,4,
CIMP001,1,
CIMP001,2,
CIMP002,1,2016-02-19
CIMP003,1,2016-05-13
CIMP004,1,2016-01-20
CIMP005,1,2016-04-12
CIMP006,1,2016-02-17
CIMP007,1,2016-06-10
CIMP008,1,2016-04-28
CIMP009,1,2016-03-30
CIMP010,1,2016-04-13
CIMP011,1,2016-04-08
CIMP012,1,2016-07-29
CIMP012,2,2016-06-22
CIMP013,1,2019-02-20
CIMP013,2,2019-02-20
CIMP013,3,2019-02-28
CIMP014,1,2019-11-30
CIMP014,2,2019-12-31
CIMP014,3,2020-01-31
CIMP014,4,2020-02-29
CIMP014,5,2020-03-31
CIMP014,6,2020-04-30
CIMP014,7,2020-05-31
CIMP014,8,2020-06-30
DCI01-25-12-02,1,2026-01-16
DCI01-25-12-02,2,2026-02-19
DCI01-25-12-02,3,2026-03-06
DGOV001,1,
DGOV001,7,
DGOV001,8,
DGOV002,1,
DGOV003,1,2017-11-01
DGOV003,2,2018-03-04
DGOV003,3,2018-03-04
DGOV003,4,2018-02-28
DGOV004,1,2017-11-08
DGOV004,2,2017-12-05
DGOV005,1,2019-12-22
DGOV005,2,2019-12-31
DGOV005,3,2019-12-31
DGOV006,1,2019-12-31
DGOV006,2,2019-12-31
DGOV006,3,2020-01-31
DGOV007,1,2021-11-30
DGOV008,1,2021-12-15
DGOV008,2,2022-03-30
DGOV008,3,2022-06-24
DGOV009,1,2023-08-30
DGOV009,2,2023-06-20
DGOV009,3,2023-07-25
DGOV010,1,2026-01-15
DGOV010,2,2026-04-24
DGOV010,3,2026-05-15
DKVC001,1,2021-07-31
HCPS001,1,2018-02-28
HCPS002,1,2018-04-06
HCPS003,1,2018-08-31
HCPS004,1,2018-12-31
HCPS005,1,2018-11-30
HCPS005,2,2019-03-06
HCPS006,1,
HCPS007,1,2020-04-30
HCPS008,1,2019-10-31
HCPS009,1,2020-04-20
HCPS009,2,2020-11-30
HCPS009,3,2020-11-30
HCPS009,4,2020-11-30
HCPS009,5,2020-11-30
HCPS009,6,2020-11-30
HCPS010,1,2022-07-14
HCPS011,1,2023-06-14
HCPS011,2,2023-07-31
IBS01-25-10-01,1,2026-02-27
IBS01-25-10-01,2,2026-03-31
IBS01-25-10-01,3,2026-03-31
IBSD001,1,
ICPA001,1,2024-05-03
ICPA001,2,2024-05-10
ICPA001,3,2024-05-17
IIA01-25-06-01,1,2025-11-28
IIA01-25-06-01,2,2026-03-02
IIA01-25-06-01,3,2026-04-01
IIA01-25-06-01,4,2026-05-01
INAU005,1,2014-12-10
INAU005,2,2014-12-10
INAU005,3,2014-12-10
INAU006,1,2014-12-12
INAU006,2,2014-12-12
INAU006,3,2014-12-12
INAU007,1,2015-07-29
INAU008,1,2015-05-28
INAU008,2,2015-05-28
INAU008,3,2015-05-28
INAU009,1,2016-09-25
INAU009,2,2016-09-25
INAU009,3,2016-09-25
INAU010,1,2016-12-13
INAU010,2,2017-01-15
INAU011,1,2017-10-30
INAU011,2,2017-10-30
INAU012,1,2017-07-14
INAU012,2,2017-08-14
INAU012,3,2017-08-15
INAU013,1,
INAU014,1,2019-11-27
INAU015,1,2019-11-30
INAU015,2,2019-12-31
INAU015,3,2019-12-31
INAU016,1,2022-06-23
INAU016,2,2022-06-23
INAU016,3,2022-06-23
INAU016,4,2022-06-23
INAU016,5,2022-06-23
INAU016,6,2022-06-23
INAU016,7,2022-06-23
INAU016,8,2022-06-23
INAU016,9,2022-06-23
INAU016,10,2022-06-23
INAU016,11,2022-06-23
INAU016,12,2022-06-23
INAU016,13,2022-06-23
INAU016,14,2022-06-23
INAU016,15,2022-06-23
INAU016,16,2022-06-23
INAU016,17,2022-06-23
INAU016,18,2022-06-23
INAU016,19,2022-06-23
INAU016,20,2022-06-23
INAU016,21,2022-06-23
INAU016,22,2022-06-23
INAU016,23,2022-06-23
INAU016,24,2022-06-23
INAU016,25,2022-06-23
INAU016,,2022-06-23
INAU017,1,2020-08-07
INAU017,2,2020-08-07
INAU017,3,2020-08-07
INAU018,1,2020-12-22
INAU019,1,2021-02-01
INAU019,2,2020-12-07
INAU019,3,2021-04-06
INAU019,4,2021-01-30
INAU019,5,2021-02-17
INAU019,6,2020-12-31
INAU019,7,2020-12-03
INAU019,8,2020-12-26
INAU019,,2021-02-07
INAU020,1,2021-01-31
INAU020,,2020-12-02
INAU021,1,2020-12-31
INAU021,2,2021-01-29
INAU021,,2021-04-28
INAU022,1,2021-07-30
INAU023A,1,2021-12-31
INAU023A,2,2021-12-31
INAU023A,3,2021-12-31
INAU023A,4,2021-12-31
INAU023A,5,2021-12-31
INAU023A,6,2021-12-31
INAU023A,7,2021-12-31
INAU023A,8,2021-12-31
INAU023A,9,2021-12-31
INAU023A,10,2021-12-31
INAU023A,11,2021-12-31
INAU023A,12,2021-12-31
INAU023A,13,2021-12-31
INAU023A,14,2021-12-31
INAU023A,15,2021-12-31
INAU023A,16,2021-12-31
INAU023A,17,2021-12-31
INAU023A,18,2021-12-31
INAU023A,,2021-12-31
INAU023B,1,2021-12-31
INAU023B,2,2021-12-31
INAU023B,3,2021-12-31
INAU023B,4,2021-12-31
INAU023B,5,2021-12-31
INAU023B,6,2021-12-31
INAU023B,,2021-12-31
INAU023C,1,2021-12-31
INAU023C,2,2021-12-31
INAU023C,,2021-12-31
INAU024,1,2021-11-19
INAU025,1,2022-06-01
INAU026,1,2022-05-09
INAU027,1,
INAU027,2,
INAU027,3,2024-02-29
INAU028,1,
INAU029,1,
INAU030,1,
INAU031,1,2023-06-19
INAU032,1,2023-09-08
INAU032,2,2023-10-31
INAU032,3,2023-11-30
INAU033,1,2023-09-24
INAU034,1,2023-10-06
INAU035,1,2024-03-22
INAU035,2,2024-03-29
INAU035,3,2024-03-29
INAU036,1,2024-05-10
INAU037,1,2025-07-31
INAU038,1,2025-06-18
INAU039,1,2025-07-31
INAU039,2,2025-09-30
INAU040,1,2025-09-30
INAU041,1,
INAU041,2,
INAU041,3,2026-03-13
INAU042,1,2026-04-30
IOCM001,1,2015-02-18
IPDP001,1,2024-08-05
IPDP001,2,2024-04-30
IPDP001,3,2024-06-30
IPDP001,4,2024-08-15
IPDP001,5,2024-04-05
IPDP001,6,2024-06-19
IPDP002,1,2024-07-28
IPDP003,1,2024-07-22
IPDP003,2,2024-07-22
IPDP003,3,2024-09-06
IPDP004,1,2024-08-23
IPDP004,2,2024-08-23
IPDP004,3,2024-08-23
IPDP005,1,2024-08-31
IPDP005,2,2024-10-30
IPDP006,1,2024-09-30
IPDP006,2,2024-09-30
IPDP007,1,2024-09-06
IPDP007,2,2024-10-30
IPDP008,1,2024-09-06
IPDP008,2,2024-10-11
IPDP008,3,2024-11-12
IPDP009,1,2024-12-02
IPDP010,1,2024-10-18
IPDP010,2,2024-11-22
IPDP010,3,2024-12-22
IPDP011,1,2024-10-18
IPDP011,2,2024-11-22
IPDP011,3,2024-12-27
IPDP012,1,2024-10-18
IPDP012,2,2024-11-15
IPDP012,3,2024-12-20
IPDP013,1,2024-10-18
IPDP013,2,2024-11-11
IPDP013,3,2024-12-02
IPDP014,1,2024-11-07
IPDP014,2,2024-12-20
IPDP015,1,2024-11-30
IPDP016,1,2024-11-06
IPDP016,2,2024-12-20
IPDP016,3,2025-01-15
IPDP016,4,2024-12-27
IPDP017,1,2024-12-25
IPDP017,2,2024-12-13
IPDP017,3,2024-12-25
IPDP018,1,2024-10-31
IPDP018,2,2024-11-11
IPDP018,3,2024-11-30
IPDP019,1,2024-12-02
IPDP019,2,2025-01-02
IPDP020,1,2024-12-02
IPDP020,2,2025-01-02
IPDP021,1,2024-11-18
IPDP021,2,2024-11-29
IPDP021,3,2025-01-31
IPDP022,1,2024-12-23
IPDP023,1,2025-04-13
IPDP023,2,2025-02-11
IPDP023,3,2024-12-27
IPDP024,1,2025-02-28
IPDP024,2,2025-03-30
IPDP024,3,2025-04-30
IPDP025,1,2025-03-14
IPDP025,2,2025-05-02
IPDP025,3,
IPDP026,1,2025-02-14
IPDP026,2,2025-04-30
IPDP026,3,2025-06-20
IPDP026,4,2025-07-14
IPDP027,1,2025-05-10
IPDP027,2,2025-05-31
IPDP027,3,2025-02-24
IPDP028,1,2025-06-25
IPDP028,2,2025-08-01
IPDP028,3,2025-07-31
IPDP029,1,2025-02-14
IPDP029,2,2025-07-29
IPDP029,3,2025-09-15
IPDP030,1,2025-09-21
IPDP030,2,2025-06-20
IPDP030,3,2025-07-25
IPDP030,4,2025-09-13
IPDP031,1,2025-05-09
IPDP031,2,2025-06-13
IPDP031,3,2025-07-11
IPDP031,4,2025-07-30
IPDP032,1,2025-05-20
IPDP032,2,2025-06-27
IPDP032,3,2025-08-29
IPDP032A,1,2025-09-12
IPDP032A,2,2025-10-01
IPDP032A,3,2025-10-08
IPDP033,1,2025-09-19
IPDP034,1,2025-06-27
IPDP034,2,2025-08-29
IPDP034,3,2025-08-29
IPDP035,1,2025-07-18
IPDP035,2,2025-08-11
IPDP035,3,2025-09-01
IPDP036,1,2025-07-31
IPDP036,2,2025-08-18
IPDP036,3,2025-10-20
IPDP036,4,2025-10-20
IPDP037,1,2025-09-15
IPDP037,2,2025-10-06
IPDP038,1,2025-08-25
IPDP038,2,2025-09-19
IPDP038,3,2025-10-17
IPDP038,4,2025-11-14
IPDP039,1,2025-08-29
IPDP039,2,2025-10-31
IPDP039,3,2025-11-20
IPDP040,1,2025-10-30
IPDP040,2,2025-11-28
IPDP040,,2025-11-28
IPDP041,1,2026-01-23
IPDP042,1,2025-10-24
IPDP043,1,2025-12-12
IPDP043,2,2025-12-12
IPDP044,1,2026-01-16
IPDP044,2,2026-02-20
IPDP044,3,2026-02-27
IPDP044,4,2026-02-27
IPDP045,1,2026-01-16
IPDP045,2,2026-01-31
IPDP045,3,2026-03-31
IPDP046,1,2026-01-23
IPDP046,2,2026-02-27
IPDP046,3,2026-05-20
IPDP047,1,2026-01-15
IPDP047,2,2026-03-13
IPDP047,3,2026-03-13
IPDP048,1,2026-02-27
IPDP048,2,2026-03-27
IPDP048,3,2026-05-04
IPDP048,4,2026-05-29
ISOL001,1,
ITAD019,1,2026-02-26
ITAD020,1,2026-02-13
ITAD020,2,2026-03-12
ITAD021,1,2026-02-16
ITAD021,2,2026-03-06
ITAD021,3,2026-06-24
ITAD021,4,2026-02-24
ITAD021,5,2026-05-22
ITAD022,1,
ITAD022A,1,2026-04-19
ITAD022A,2,2026-04-21
ITAD022A,3,2026-04-13
ITAD022A,4,2026-04-10
ITAD022A,5,2026-04-10
ITAD023,1,2026-02-13
ITAD023,2,2026-02-16
ITAD023,3,2026-04-03
ITAD024,1,2026-02-16
ITAD024,2,2026-07-17
ITAD025,1,2026-02-06
ITAD025,2,2026-02-27
ITAD026,1,2026-03-10
ITAD026,2,2026-04-15
ITAD026,3,2026-05-19
ITAD026,4,2026-05-08
ITAD026,5,2026-05-19
ITAD027,1,2026-02-11
ITAD027,2,2026-03-27
ITAD027,3,2026-03-02
ITAD027,4,2026-04-24
ITAD027,5,2026-04-24
ITAD028,1,2026-02-11
ITAD028,2,2026-02-23
ITAD028,3,2026-03-20
ITAD029,1,2026-02-23
ITAD029,2,2026-05-15
ITAD029,3,2026-06-29
ITAD029,4,2026-08-28
ITAD029,5,2026-12-22
ITAD030,1,2026-05-14
ITAD030,2,2026-04-03
ITAD030,3,2026-05-08
ITAD031,1,2026-02-13
ITAD031,2,2026-02-28
ITAD031,3,2026-03-26
ITAD032,1,2026-02-23
ITAD032,2,2026-04-06
ITAD032,3,2026-04-30
ITAD032,4,2026-05-11
ITAD033,1,2026-04-30
ITAD033,2,2026-06-25
ITAD033,3,2026-07-10
ITAD033,4,2026-06-26
ITAD033,5,2026-07-30
ITAD034,1,2026-03-27
ITAD034,2,2026-04-10
ITAD034,3,2026-04-15
ITAD034,4,2026-04-24
ITAD034,5,2026-05-01
ITAD035,1,2026-04-27
ITAD035,2,2026-04-03
ITAD035,3,2026-05-08
ITAD036,1,2026-04-27
ITAD036,2,2026-04-27
ITAD037,1,2026-06-15
ITAD037,2,2026-09-30
ITAD038,1,2026-03-25
ITAD038A,1,2026-07-01
ITAD039,1,2026-03-13
ITAD039,2,2026-04-30
ITAD040,1,2026-03-30
ITAD040,2,2026-07-15
ITAD040,3,2026-10-15
ITAD041,1,2026-05-15
ITAD041,2,2026-10-30
ITAD042,1,
ITAD042,2,
ITAD043,1,2026-07-14
ITAD043,2,2026-04-27
ITAD043,3,2026-05-08
ITAD044,1,2026-04-30
ITAD044,2,2026-05-08
ITAD044,3,2026-05-15
ITAD045,1,2026-04-30
ITAD045,2,2026-05-29
ITAD045,3,2026-06-26
ITAD046,1,2026-05-08
ITAD046,2,2026-05-15
ITAD047,1,
ITAD048,1,2026-06-03
ITAD048,2,2026-07-17
ITAD049,1,2026-07-04
ITAD049,2,2026-06-15
ITAD049,3,2026-07-21
ITAD050,1,2026-08-04
ITAD050,2,2026-05-29
ITAD050,3,2026-06-22
ITAD051,1,2026-04-30
ITAD051,2,2026-06-10
ITAD051,3,2026-06-15
ITAD052,1,2026-06-15
ITAD052,2,2026-06-30
ITAD053,1,2026-06-16
ITAD053,2,2026-07-07
ITAD054,1,2026-09-26
ITAD054,2,2026-06-29
ITAD054,3,2026-07-22
ITAD055,1,2026-05-18
ITAD055,2,2026-06-19
ITAD055,3,2026-06-19
ITAD055,4,2026-07-03
ITAD055,5,2026-07-03
ITAD056,1,2026-07-30
ITAD057,1,2026-06-08
ITAD057,2,2026-06-08
ITAD057,3,2026-06-19
ITAD058,1,2026-09-22
ITAD058,2,2026-06-29
ITAD058,3,2026-07-06
ITAD059,1,2026-06-10
ITAD059,2,2026-06-12
ITAD059,3,2026-06-30
ITAU011,1,2014-12-08
ITAU011,2,2014-12-08
ITAU011,3,2014-12-08
ITAU011,4,2014-12-08
ITAU011,5,2014-12-08
ITAU012,1,2011-11-30
ITAU012,2,2011-11-30
ITAU012,3,2011-11-30
ITAU014,1,2011-08-31
ITAU014,2,2011-08-31
ITAU014,3,2011-08-31
ITAU014,4,2011-08-31
ITAU014,5,2011-08-31
ITAU014,6,2011-08-31
ITAU014,7,2011-08-31
ITAU031,1,2012-12-10
ITAU032,1,2014-02-20
ITAU032,2,2014-02-20
ITAU032,3,2014-02-20
ITAU032,4,2014-02-20
ITAU033,1,2013-06-24
ITAU033,2,2013-06-24
ITAU033,3,2013-06-24
ITAU033,4,2013-06-24
ITAU034,1,2013-06-06
ITAU035,1,2013-08-06
ITAU035,2,2013-08-06
ITAU036,1,2013-08-10
ITAU037,1,2013-09-30
ITAU038,1,2014-02-15
ITAU039,1,2013-10-31
ITAU039,2,2013-10-31
ITAU040,1,
ITAU041,1,2013-08-16
ITAU042,1,2013-11-15
ITAU043,1,2013-12-09
ITAU044,1,2013-11-09
ITAU044,2,2013-11-09
ITAU044,3,2013-11-09
ITAU045,1,2013-12-06
ITAU045,2,2013-12-06
ITAU045,3,2013-12-06
ITAU046,1,2013-12-27
ITAU046,2,2013-12-27
ITAU046,3,2013-12-27
ITAU047,1,2013-04-08
ITAU047,2,2013-04-08
ITAU047,3,2013-04-08
ITAU048,1,2014-01-24
ITAU048,2,2014-01-24
ITAU048,3,2014-01-24
ITAU049,1,2014-01-31
ITAU049,2,2014-01-31
ITAU049,3,2014-01-31
ITAU050,1,2014-04-04
ITAU050,2,2014-04-04
ITAU051,1,2014-01-04
ITAU052,1,2014-02-28
ITAU052,2,2014-02-28
ITAU052,3,2014-02-28
ITAU052,4,2014-02-28
ITAU053,1,2014-03-24
ITAU053,2,2014-03-24
ITAU053,3,2014-03-24
ITAU053,4,2014-03-24
ITAU054,1,2014-03-29
ITAU054,2,2014-03-29
ITAU054,3,2014-03-29
ITAU055,1,2014-04-03
ITAU055,2,2014-04-03
ITAU055,3,2014-04-03
ITAU056,1,2014-06-30
ITAU056,2,2014-06-30
ITAU057,1,2014-02-17
ITAU058,1,
ITAU059,1,2014-05-22
ITAU059,2,2014-05-22
ITAU059,3,2014-05-22
ITAU060,1,2014-05-28
ITAU060,2,2014-07-05
ITAU060,3,2014-06-14
ITAU061,1,2015-04-24
ITAU061,2,2015-04-24
ITAU061,3,2015-04-24
ITAU062,1,2014-11-14
ITAU062,2,2014-11-14
ITAU062,3,2014-11-14
ITAU062,4,2014-11-14
ITAU063,1,
ITAU064,1,
ITAU065,1,2014-11-07
ITAU065,2,2014-11-07
ITAU065,3,2014-11-07
ITAU066,1,2014-12-26
ITAU067,1,2014-09-22
ITAU068,1,2014-10-11
ITAU069,1,2014-11-13
ITAU070,1,2014-11-27
ITAU071,1,2014-10-28
ITAU072,1,2014-10-30
ITAU072,2,2014-10-30
ITAU073,1,2015-01-08
ITAU073,2,2015-01-08
ITAU074,1,2015-01-13
ITAU074,2,2015-01-13
ITAU075,1,2014-12-19
ITAU075,2,2014-12-19
ITAU075,3,2014-12-19
ITAU076,1,2015-01-14
ITAU076,2,2015-01-14
ITAU076,3,2015-01-14
ITAU077,1,2015-02-17
ITAU077,2,2015-02-17
ITAU077,3,2015-02-17
ITAU078,1,2014-12-22
ITAU079,1,2014-12-22
ITAU079,2,2014-12-22
ITAU080,1,2015-04-03
ITAU080,2,2015-04-03
ITAU080,3,2015-04-03
ITAU080,4,2015-04-03
ITAU081,1,2015-02-23
ITAU081,2,2015-02-23
ITAU082,1,2015-02-27
ITAU083,1,2015-01-17
ITAU083,2,2015-01-17
ITAU084,1,2015-07-06
ITAU084,2,2015-07-06
ITAU084,3,2015-07-06
ITAU084,4,2015-07-06
ITAU085,1,2015-02-27
ITAU085,2,2015-02-27
ITAU085,3,2015-02-27
ITAU085,4,2015-02-27
ITAU086,1,2015-06-09
ITAU086,2,2015-04-06
ITAU086,3,2015-05-16
ITAU086,4,2015-03-23
ITAU086,5,2016-06-13
ITAU087,1,2015-06-27
ITAU087,2,2015-06-27
ITAU087,3,2015-06-27
ITAU087,4,2015-06-27
ITAU088,1,2015-06-16
ITAU088,2,2015-06-16
ITAU088,3,2015-06-16
ITAU088,4,2015-06-16
ITAU089,1,2015-08-28
ITAU089,2,2015-08-28
ITAU089,3,2015-08-28
ITAU090,1,
ITAU090,2,
ITAU090,3,
ITAU091,1,2015-09-15
ITAU091,2,2015-09-07
ITAU091,3,2015-06-05
ITAU092,1,2015-06-22
ITAU092,2,2015-06-22
ITAU092,3,2015-06-22
ITAU093,1,2015-05-28
ITAU093,2,2015-05-28
ITAU093,3,2015-05-28
ITAU094,1,2015-06-19
ITAU094,2,2015-06-19
ITAU094,3,2015-06-19
ITAU095,1,2015-08-10
ITAU095,2,2015-08-10
ITAU096,1,2015-07-31
ITAU096,2,2015-07-31
ITAU096,3,2015-07-31
ITAU096,4,2015-07-31
ITAU097,1,2015-08-31
ITAU097,2,2015-08-31
ITAU097,3,2015-08-31
ITAU097,4,2015-08-31
ITAU098,1,2015-10-14
ITAU098,2,2015-10-14
ITAU098,3,2015-10-14
ITAU098,4,2015-10-14
ITAU098,5,2015-10-14
ITAU099,1,2015-08-31
ITAU099,2,2015-08-31
ITAU100,1,2016-04-24
ITAU101,1,2016-03-25
ITAU102,1,2015-12-02
ITAU102,2,2015-12-02
ITAU102,3,2015-12-02
ITAU103,1,2015-09-05
ITAU103,2,2015-09-05
ITAU104,1,2015-09-28
ITAU104,2,2015-09-28
ITAU105,1,2016-03-31
ITAU105,2,2016-03-31
ITAU106,1,2015-11-30
ITAU106,2,2015-11-30
ITAU106,3,2015-11-30
ITAU107,1,2015-10-29
ITAU107,2,2015-10-29
ITAU107,3,2015-10-29
ITAU108,1,2015-12-16
ITAU109,1,2016-02-29
ITAU110,1,2015-12-02
ITAU110,2,2015-12-02
ITAU111,1,2016-04-20
ITAU112,1,2015-12-14
ITAU113,1,2016-02-17
ITAU113,2,2016-02-17
ITAU113,3,2016-02-17
ITAU113,4,2016-02-17
ITAU114,1,2015-09-17
ITAU115,1,2016-02-16
ITAU115,2,2016-02-16
ITAU115,3,2016-02-16
ITAU116,1,2016-01-14
ITAU116,2,2016-01-14
ITAU117,1,2015-12-18
ITAU118,1,2016-09-29
ITAU118,2,2016-08-27
ITAU119,1,2016-06-30
ITAU119,2,2016-06-30
ITAU119,3,2016-06-30
ITAU119,4,2017-01-09
ITAU120,1,2016-03-31
ITAU120,2,2016-03-31
ITAU121,1,2016-04-22
ITAU121,2,2016-04-22
ITAU122,1,2016-10-11
ITAU123,1,2016-05-13
ITAU123,2,2016-05-13
ITAU124,1,2016-05-20
ITAU124,2,2016-05-20
ITAU124,3,2016-05-20
ITAU125,1,2016-04-27
ITAU125,2,2016-06-17
ITAU126,1,2016-03-31
ITAU126,2,2016-03-31
ITAU126,3,2016-03-31
ITAU126,4,2016-03-31
ITAU126,5,2016-03-31
ITAU127,1,2016-05-05
ITAU127,2,2016-05-05
ITAU127,3,2017-12-01
ITAU128,1,2016-06-30
ITAU129,1,2016-05-14
ITAU129,2,2016-05-14
ITAU129,3,2016-05-14
ITAU130,1,2016-05-01
ITAU130,2,2016-05-01
ITAU131,1,2017-03-15
ITAU131,2,2017-03-15
ITAU131,3,2017-03-15
ITAU132,1,2017-09-28
ITAU132,2,2017-06-09
ITAU132,3,2017-10-16
ITAU132,4,2017-11-01
ITAU132,5,2017-12-01
ITAU132A,1,2018-04-30
ITAU133,1,
ITAU133,2,
ITAU133,3,
ITAU133,4,
ITAU134,1,2016-05-01
ITAU134,2,2016-05-01
ITAU135,1,2016-05-21
ITAU135,2,2016-05-21
ITAU136,1,2016-04-27
ITAU136,2,2016-05-06
ITAU137,1,2016-05-21
ITAU138,1,2016-05-17
ITAU138,2,2016-05-17
ITAU139,1,2016-06-17
ITAU139,2,2016-06-17
ITAU140,1,
ITAU140,2,
