Job Code,Position,Employee,Score Contribution (%)
BCSP002,PM,AMF,60
BCSP002,Co-PM,OMW,40
BCSP003,PD,TLW,100
BCSP003,PM,DTP,100
BCSP004,PD,AMF,60
BCSP004,Co-PD,OMW,40
BCSP004,PM,DGS,100
BCSP005,PD,NFI,60
BCSP005,Co-PD,IFS,40
BCSP005,PM,IFI,60
BCSP005,Co-PM,OMW,40
BCSP006,PD,NFI,100
BCSP006,PM,DLP,70
BCSP006,Co-PM,AMF,30
BCSP007,PD,DTP,100
BCSP007,PM,IFS,100
BCSP008,PD,DLP,100
BCSP008,PM,HZR,60
BCSP008,Co-PM,TLW,40
BPIR004,PD,TLW,70
BPIR004,Co-PD,OMW,30
BPIR004,PM,IFI,60
BPIR004,Co-PM,WNA,40
BPIR005,PD,HZR,100
BPIR005,PM,TLW,60
BPIR005,Co-PM,RLM,40
BPIR006,PD,IFI,70
BPIR006,Co-PD,FYA,30
BPIR006,PM,AMF,100
BPIR007,PD,DTP,100
BPIR007,PM,DLP,70
BPIR007,Co-PM,IFS,30
BPIR008,PD,DTP,100
BPIR008,PM,IFI,100
BPIR009,PD,DLP,100
BPIR009,PM,JQV,100
BPIR010,PD,OMW,70
BPIR010,Co-PD,AMF,30
BPIR010,PM,AMF,100
BPIR010A,PD,IFS,60
BPIR010A,Co-PD,JQV,40
BPIR010A,PM,FYA,60
BPIR010A,Co-PM,DGS,40
BPIR011,PD,NFI,60
BPIR011,Co-PD,IFI,40
BPIR011,PM,WNA,70
BPIR011,Co-PM,HZR,30
BPIR012,PD,DTP,70
BPIR012,Co-PD,AMF,30
BPIR012,PM,IFI,100
BSOP002,PD,WNA,70
BSOP002,Co-PD,TSR,30
BSOP002,PM,NFI,60
BSOP002,Co-PM,IFI,40
BSOP003,PD,DGS,100
BSOP003,PM,FYA,100
BSOP004,PD,RLM,100
BSOP004,PM,DTP,100
BSOP005,PD,WNA,70
BSOP005,Co-PD,JQV,30
BSOP005,PM,IFI,70
BSOP005,Co-PM,DLP,30
BSOP006,PD,FYA,60
BSOP006,Co-PD,NFI,40
BSOP006,PM,NFI,100
BSOP007,PD,DGS,60
BSOP007,Co-PD,TLW,40
BSOP007,PM,HZR,60
BSOP007,Co-PM,AMF,40
BSOP008,PD,DGS,60
BSOP008,Co-PD,DTP,40
BSOP008,PM,RLM,70
BSOP008,Co-PM,FYA,30
BSOP009,PD,JQV,60
BSOP009,Co-PD,RLM,40
BSOP009,PM,WNA,70
BSOP009,Co-PM,DLP,30
BSOP010,PD,WNA,70
BSOP010,Co-PD,TSR,30
BSOP010,PM,OMW,60
BSOP010,Co-PM,FYA,40
BSOP011,PD,HZR,100
BSOP011,PM,DGS,70
BSOP011,Co-PM,TSR,30
BSOP012,PD,AMF,60
BSOP012,Co-PD,DLP,40
BSOP012,PM,DGS,100
BSOP013,PD,DGS,70
BSOP013,Co-PD,IFS,30
BSOP013,PM,NFI,100
BSOP014,PD,RLM,100
BSOP014,PM,OMW,60
BSOP014,Co-PM,DGS,40
BSOP015,PD,RLM,100
BSOP015,PM,DGS,100
BSOP016,PD,JQV,100
BSOP016,PM,FYA,70
BSOP016,Co-PM,DGS,30
BSOP017,PD,OMW,100
BSOP017,PM,HZR,60
BSOP017,Co-PM,NFI,40
BSOP018,PD,TSR,70
BSOP018,Co-PD,DGS,30
BSOP018,PM,NFI,60
BSOP018,Co-PM,FYA,40
BSOP019,PD,TSR,60
BSOP019,Co-PD,DLP,40
BSOP019,PM,OMW,100
BSOP020,PD,OMW,100
BSOP020,PM,HZR,100
BSOP021,PD,DTP,70
BSOP021,Co-PD,TSR,30
BSOP021,PM,AMF,100
BSOP022,PD,FYA,60
BSOP022,Co-PD,AMF,40
BSOP022,PM,OMW,100
BSOP023,PD,TSR,70
BSOP023,Co-PD,IFS,30
BSOP023,PM,TLW,100
BSOP024,PD,NFI,60
BSOP024,Co-PD,RLM,40
BSOP024,PM,DTP,100
CIMP001,PD,RLM,100
CIMP001,PM,JQV,100
CIMP002,PD,JQV,100
CIMP002,PM,TSR,60
CIMP002,Co-PM,RLM,40
CIMP003,PD,IFS,70
CIMP003,Co-PD,HZR,30
CIMP003,PM,RLM,100
CIMP004,PD,WNA,60
CIMP004,Co-PD,OMW,40
CIMP004,PM,OMW,100
CIMP005,PD,WNA,60
CIMP005,Co-PD,OMW,40
CIMP005,PM,JQV,100
CIMP006,PD,IFI,100
CIMP006,PM,TSR,60
CIMP006,Co-PM,DTP,40
CIMP007,PD,FYA,60
CIMP007,Co-PD,DGS,40
CIMP007,PM,WNA,70
CIMP007,Co-PM,RLM,30
CIMP008,PD,WNA,70
CIMP008,Co-PD,DGS,30
CIMP008,PM,JQV,60
CIMP008,Co-PM,IFS,40
CIMP009,PD,DLP,100
CIMP009,PM,DGS,70
CIMP009,Co-PM,TSR,30
CIMP010,PD,RLM,70
CIMP010,Co-PD,DTP,30
CIMP010,PM,NFI,100
CIMP011,PD,IFS,100
CIMP011,PM,DLP,70
CIMP011,Co-PM,RLM,30
CIMP012,PD,JQV,100
CIMP012,PM,TLW,70
CIMP012,Co-PM,IFI,30
CIMP013,PD,HZR,100
CIMP013,PM,RLM,100
CIMP014,PD,RLM,60
CIMP014,Co-PD,IFI,40
CIMP014,PM,DTP,100
DGOV001,PD,HZR,100
DGOV001,PM,TLW,60
DGOV001,Co-PM,WNA,40
DGOV002,PD,RLM,100
DGOV002,PM,IFS,100
DGOV003,PD,HZR,100
DGOV003,PM,DGS,100
DGOV004,PD,TLW,100
DGOV004,PM,RLM,100
DGOV005,PD,TLW,60
DGOV005,Co-PD,NFI,40
DGOV005,PM,DGS,100
DGOV006,PD,TLW,100
DGOV006,PM,FYA,60
DGOV006,Co-PM,DGS,40
DGOV007,PD,NFI,70
DGOV007,Co-PD,OMW,30
DGOV007,PM,IFI,70
DGOV007,Co-PM,WNA,30
DGOV008,PD,JQV,60
DGOV008,Co-PD,OMW,40
DGOV008,PM,TSR,100
DGOV009,PD,OMW,60
DGOV009,Co-PD,HZR,40
DGOV009,PM,TLW,100
DGOV010,PD,IFS,100
DGOV010,PM,DTP,100
DKVC001,PD,RLM,100
DKVC001,PM,TLW,60
DKVC001,Co-PM,TSR,40
HCPS001,PD,RLM,60
HCPS001,Co-PD,HZR,40
HCPS001,PM,WNA,100
HCPS002,PD,WNA,100
HCPS002,PM,NFI,60
HCPS002,Co-PM,TSR,40
HCPS003,PD,TLW,60
HCPS003,Co-PD,TSR,40
HCPS003,PM,RLM,70
HCPS003,Co-PM,WNA,30
HCPS004,PD,IFS,100
HCPS004,PM,OMW,100
HCPS005,PD,AMF,60
HCPS005,Co-PD,JQV,40
HCPS005,PM,IFI,100
HCPS006,PD,IFI,60
HCPS006,Co-PD,TLW,40
HCPS006,PM,FYA,60
HCPS006,Co-PM,TLW,40
HCPS007,PD,FYA,100
HCPS007,PM,HZR,60
HCPS007,Co-PM,DLP,40
HCPS008,PD,DTP,100
HCPS008,PM,DLP,100
HCPS009,PD,TSR,70
HCPS009,Co-PD,DLP,30
HCPS009,PM,DGS,70
HCPS009,Co-PM,NFI,30
HCPS010,PD,DGS,70
HCPS010,Co-PD,IFI,30
HCPS010,PM,IFI,70
HCPS010,Co-PM,DLP,30
HCPS011,PD,TLW,100
HCPS011,PM,DGS,70
HCPS011,Co-PM,AMF,30
IBSD001,PD,RLM,100
IBSD001,PM,FYA,60
IBSD001,Co-PM,DTP,40
ICPA001,PD,IFS,100
ICPA001,PM,OMW,70
ICPA001,Co-PM,DGS,30
INAU005,PD,DLP,100
INAU005,PM,HZR,100
INAU006,PD,DLP,100
INAU006,PM,TSR,100
INAU007,PD,IFS,100
INAU007,PM,DGS,100
INAU008,PD,RLM,60
INAU008,Co-PD,WNA,40
INAU008,PM,AMF,60
INAU008,Co-PM,WNA,40
INAU009,PD,DTP,100
INAU009,PM,HZR,60
INAU009,Co-PM,TLW,40
INAU010,PD,AMF,100
INAU010,PM,TLW,100
INAU011,PD,OMW,60
INAU011,Co-PD,IFS,40
INAU011,PM,AMF,100
INAU012,PD,WNA,100
INAU012,PM,TLW,60
INAU012,Co-PM,DGS,40
INAU013,PD,TSR,100
INAU013,PM,HZR,100
INAU014,PD,FYA,100
INAU014,PM,NFI,100
INAU015,PD,IFS,100
INAU015,PM,OMW,60
INAU015,Co-PM,WNA,40
INAU016,PD,IFI,60
INAU016,Co-PD,OMW,40
INAU016,PM,OMW,60
INAU016,Co-PM,JQV,40
INAU017,PD,WNA,70
INAU017,Co-PD,NFI,30
INAU017,PM,NFI,100
INAU018,PD,TLW,100
INAU018,PM,NFI,100
INAU019,PD,AMF,100
INAU019,PM,TLW,100
INAU020,PD,DLP,70
INAU020,Co-PD,TLW,30
INAU020,PM,TSR,100
INAU021,PD,TSR,60
INAU021,Co-PD,IFS,40
INAU021,PM,TLW,100
INAU022,PD,WNA,60
INAU022,Co-PD,RLM,40
INAU022,PM,FYA,70
INAU022,Co-PM,NFI,30
INAU023A,PD,JQV,70
INAU023A,Co-PD,DLP,30
INAU023A,PM,NFI,60
INAU023A,Co-PM,WNA,40
INAU023B,PD,JQV,100
INAU023B,PM,DGS,100
INAU023C,PD,FYA,100
INAU023C,PM,HZR,60
INAU023C,Co-PM,NFI,40
INAU024,PD,IFI,70
INAU024,Co-PD,RLM,30
INAU024,PM,TSR,60
INAU024,Co-PM,DTP,40
INAU025,PD,JQV,100
INAU025,PM,AMF,100
INAU026,PD,TLW,60
INAU026,Co-PD,DTP,40
INAU026,PM,WNA,70
INAU026,Co-PM,TSR,30
INAU027,PD,DTP,60
INAU027,Co-PD,HZR,40
INAU027,PM,IFI,100
INAU028,PD,OMW,70
INAU028,Co-PD,AMF,30
INAU028,PM,IFI,60
INAU028,Co-PM,JQV,40
INAU029,PD,DLP,100
INAU029,PM,IFI,100
INAU030,PD,OMW,100
INAU030,PM,DGS,100
INAU031,PD,RLM,100
INAU031,PM,TLW,100
INAU032,PD,FYA,100
INAU032,PM,TLW,70
INAU032,Co-PM,JQV,30
INAU033,PD,IFS,100
INAU033,PM,DLP,100
INAU034,PD,NFI,100
INAU034,PM,TSR,100
INAU035,PD,IFI,70
INAU035,Co-PD,IFS,30
INAU035,PM,NFI,60
INAU035,Co-PM,IFS,40
INAU036,PD,FYA,60
INAU036,Co-PD,TSR,40
INAU036,PM,RLM,100
INAU037,PD,DLP,100
INAU037,PM,TSR,100
INAU038,PD,AMF,100
INAU038,PM,DGS,100
INAU039,PD,OMW,70
INAU039,Co-PD,NFI,30
INAU039,PM,FYA,100
INAU040,PD,DLP,60
INAU040,Co-PD,DGS,40
INAU040,PM,AMF,100
INAU041,PD,IFS,100
INAU041,PM,TLW,60
INAU041,Co-PM,DGS,40
INAU042,PD,JQV,60
INAU042,Co-PD,FYA,40
INAU042,PM,TLW,60
INAU042,Co-PM,DTP,40
IOCM001,PD,JQV,70
IOCM001,Co-PD,FYA,30
IOCM001,PM,DLP,70
IOCM001,Co-PM,RLM,30
IPDP001,PD,RLM,100
IPDP001,PM,FYA,100
IPDP002,PD,RLM,100
IPDP002,PM,TLW,100
IPDP003,PD,TLW,100
IPDP003,PM,IFI,100
IPDP004,PD,OMW,100
IPDP004,PM,WNA,100
IPDP005,PD,TLW,60
IPDP005,Co-PD,TSR,40
IPDP005,PM,JQV,60
IPDP005,Co-PM,IFI,40
IPDP006,PD,OMW,100
IPDP006,PM,FYA,100
IPDP007,PD,OMW,100
IPDP007,PM,IFS,60
IPDP007,Co-PM,DLP,40
IPDP008,PD,FYA,60
IPDP008,Co-PD,DGS,40
IPDP008,PM,HZR,100
IPDP009,PD,DTP,100
IPDP009,PM,IFS,70
IPDP009,Co-PM,DLP,30
IPDP010,PD,WNA,60
IPDP010,Co-PD,DGS,40
IPDP010,PM,JQV,70
IPDP010,Co-PM,DTP,30
IPDP011,PD,FYA,100
IPDP011,PM,TSR,60
IPDP011,Co-PM,DGS,40
IPDP012,PD,DLP,70
IPDP012,Co-PD,JQV,30
IPDP012,PM,RLM,70
IPDP012,Co-PM,IFS,30
IPDP013,PD,WNA,70
IPDP013,Co-PD,NFI,30
IPDP013,PM,TLW,100
IPDP014,PD,AMF,100
IPDP014,PM,TLW,100
IPDP015,PD,FYA,100
IPDP015,PM,TSR,60
IPDP015,Co-PM,IFS,40
IPDP016,PD,NFI,60
IPDP016,Co-PD,IFI,40
IPDP016,PM,FYA,100
IPDP017,PD,WNA,100
IPDP017,PM,IFI,100
IPDP018,PD,FYA,100
IPDP018,PM,HZR,60
IPDP018,Co-PM,DGS,40
IPDP019,PD,DGS,60
IPDP019,Co-PD,JQV,40
IPDP019,PM,HZR,100
IPDP020,PD,AMF,60
IPDP020,Co-PD,IFI,40
IPDP020,PM,WNA,60
IPDP020,Co-PM,TSR,40
IPDP021,PD,TLW,100
IPDP021,PM,HZR,70
IPDP021,Co-PM,RLM,30
IPDP022,PD,IFS,60
IPDP022,Co-PD,HZR,40
IPDP022,PM,DTP,60
IPDP022,Co-PM,WNA,40
IPDP023,PD,OMW,100
IPDP023,PM,DGS,100
IPDP024,PD,IFI,70
IPDP024,Co-PD,DTP,30
IPDP024,PM,IFS,100
IPDP025,PD,TSR,100
IPDP025,PM,HZR,100
IPDP026,PD,DLP,100
IPDP026,PM,WNA,60
IPDP026,Co-PM,NFI,40
IPDP027,PD,DGS,100
IPDP027,PM,IFI,60
IPDP027,Co-PM,HZR,40
IPDP028,PD,TSR,100
IPDP028,PM,TLW,100
IPDP029,PD,DGS,60
IPDP029,Co-PD,AMF,40
IPDP029,PM,TSR,100
IPDP030,PD,HZR,100
IPDP030,PM,DGS,100
IPDP031,PD,IFS,60
IPDP031,Co-PD,JQV,40
IPDP031,PM,NFI,100
IPDP032,PD,OMW,100
IPDP032,PM,DGS,100
IPDP032A,PD,DGS,60
IPDP032A,Co-PD,IFI,40
IPDP032A,PM,DTP,70
IPDP032A,Co-PM,HZR,30
IPDP033,PD,FYA,70
IPDP033,Co-PD,TLW,30
IPDP033,PM,NFI,100
IPDP034,PD,IFS,100
IPDP034,PM,IFI,60
IPDP034,Co-PM,DLP,40
IPDP035,PD,IFS,100
IPDP035,PM,TLW,100
IPDP036,PD,IFI,60
IPDP036,Co-PD,JQV,40
IPDP036,PM,WNA,60
IPDP036,Co-PM,DTP,40
IPDP037,PD,HZR,70
IPDP037,Co-PD,WNA,30
IPDP037,PM,DLP,60
IPDP037,Co-PM,OMW,40
IPDP038,PD,AMF,100
IPDP038,PM,RLM,70
IPDP038,Co-PM,FYA,30
IPDP039,PD,OMW,100
IPDP039,PM,DLP,60
IPDP039,Co-PM,JQV,40
IPDP040,PD,IFS,60
IPDP040,Co-PD,RLM,40
IPDP040,PM,DTP,100
IPDP041,PD,AMF,70
IPDP041,Co-PD,DTP,30
IPDP041,PM,IFS,100
IPDP042,PD,DGS,100
IPDP042,PM,FYA,100
IPDP043,PD,NFI,100
IPDP043,PM,OMW,60
IPDP043,Co-PM,FYA,40
IPDP044,PD,AMF,100
IPDP044,PM,DGS,100
IPDP045,PD,DGS,70
IPDP045,Co-PD,DLP,30
IPDP045,PM,FYA,100
IPDP046,PD,DTP,100
IPDP046,PM,RLM,60
IPDP046,Co-PM,TSR,40
IPDP047,PD,JQV,70
IPDP047,Co-PD,NFI,30
IPDP047,PM,DGS,100
IPDP048,PD,TSR,100
IPDP048,PM,FYA,100
ISOL001,PD,FYA,100
ISOL001,PM,WNA,100
ITAU011,PD,FYA,100
ITAU011,PM,OMW,100
ITAU012,PD,TLW,100
ITAU012,PM,IFI,100
ITAU014,PD,NFI,100
ITAU014,PM,RLM,100
ITAU031,PD,OMW,100
ITAU031,PM,DGS,100
ITAU032,PD,DLP,100
ITAU032,PM,DTP,60
ITAU032,Co-PM,NFI,40
ITAU033,PD,TSR,100
ITAU033,PM,JQV,60
ITAU033,Co-PM,TLW,40
ITAU034,PD,DLP,100
ITAU034,PM,WNA,60
ITAU034,Co-PM,AMF,40
ITAU035,PD,HZR,100
ITAU035,PM,AMF,60
ITAU035,Co-PM,TLW,40
ITAU036,PD,AMF,70
ITAU036,Co-PD,IFI,30
ITAU036,PM,DTP,70
ITAU036,Co-PM,WNA,30
ITAU037,PD,DLP,70
ITAU037,Co-PD,IFS,30
ITAU037,PM,TLW,60
ITAU037,Co-PM,RLM,40
ITAU038,PD,IFS,100
ITAU038,PM,IFI,100
ITAU039,PD,AMF,60
ITAU039,Co-PD,TLW,40
ITAU039,PM,FYA,70
ITAU039,Co-PM,OMW,30
ITAU040,PD,TLW,60
ITAU040,Co-PD,NFI,40
ITAU040,PM,DLP,100
ITAU041,PD,TSR,100
ITAU041,PM,JQV,60
ITAU041,Co-PM,TLW,40
ITAU042,PD,NFI,100
ITAU042,PM,HZR,100
ITAU043,PD,DLP,100
ITAU043,PM,JQV,100
ITAU044,PD,DTP,70
ITAU044,Co-PD,OMW,30
ITAU044,PM,NFI,100
ITAU045,PD,NFI,70
ITAU045,Co-PD,DGS,30
ITAU045,PM,AMF,60
ITAU045,Co-PM,FYA,40
ITAU046,PD,RLM,70
ITAU046,Co-PD,IFS,30
ITAU046,PM,FYA,100
ITAU047,PD,IFI,100
ITAU047,PM,IFS,70
ITAU047,Co-PM,NFI,30
ITAU048,PD,AMF,100
ITAU048,PM,IFI,70
ITAU048,Co-PM,HZR,30
ITAU049,PD,IFS,60
ITAU049,Co-PD,IFI,40
ITAU049,PM,DTP,70
ITAU049,Co-PM,TLW,30
ITAU050,PD,JQV,60
ITAU050,Co-PD,TLW,40
ITAU050,PM,WNA,100
ITAU051,PD,TLW,100
ITAU051,PM,AMF,60
ITAU051,Co-PM,HZR,40
ITAU052,PD,TLW,100
ITAU052,PM,DTP,60
ITAU052,Co-PM,IFS,40
ITAU053,PD,OMW,100
ITAU053,PM,WNA,100
ITAU054,PD,TLW,60
ITAU054,Co-PD,DLP,40
ITAU054,PM,AMF,60
ITAU054,Co-PM,IFI,40
ITAU055,PD,IFS,100
ITAU055,PM,WNA,100
ITAU056,PD,OMW,100
ITAU056,PM,IFS,60
ITAU056,Co-PM,AMF,40
ITAU057,PD,DLP,100
ITAU057,PM,IFI,100
ITAU058,PD,AMF,100
ITAU058,PM,WNA,100
ITAU059,PD,NFI,60
ITAU059,Co-PD,FYA,40
ITAU059,PM,OMW,100
ITAU060,PD,OMW,60
ITAU060,Co-PD,DLP,40
ITAU060,PM,TLW,60
ITAU060,Co-PM,FYA,40
ITAU061,PD,IFI,100
ITAU061,PM,WNA,70
ITAU061,Co-PM,DLP,30
ITAU062,PD,OMW,60
ITAU062,Co-PD,RLM,40
ITAU062,PM,DGS,60
ITAU062,Co-PM,DTP,40
ITAU063,PD,AMF,60
ITAU063,Co-PD,TSR,40
ITAU063,PM,HZR,100
ITAU064,PD,DTP,100
ITAU064,PM,AMF,70
ITAU064,Co-PM,IFI,30
ITAU065,PD,IFI,100
ITAU065,PM,FYA,100
ITAU066,PD,TSR,100
ITAU066,PM,OMW,70
ITAU066,Co-PM,FYA,30
ITAU067,PD,RLM,70
ITAU067,Co-PD,WNA,30
ITAU067,PM,IFS,100
ITAU068,PD,DGS,100
ITAU068,PM,DTP,60
ITAU068,Co-PM,RLM,40
ITAU069,PD,HZR,70
ITAU069,Co-PD,DTP,30
ITAU069,PM,DGS,60
ITAU069,Co-PM,AMF,40
ITAU070,PD,DLP,70
ITAU070,Co-PD,JQV,30
ITAU070,PM,IFI,100
ITAU071,PD,NFI,60
ITAU071,Co-PD,WNA,40
ITAU071,PM,IFI,60
ITAU071,Co-PM,DGS,40
ITAU072,PD,RLM,100
ITAU072,PM,IFS,70
ITAU072,Co-PM,DTP,30
ITAU073,PD,IFI,100
ITAU073,PM,DTP,100
ITAU074,PD,FYA,60
ITAU074,Co-PD,TLW,40
ITAU074,PM,AMF,70
ITAU074,Co-PM,TSR,30
ITAU075,PD,RLM,100
ITAU075,PM,TSR,60
ITAU075,Co-PM,FYA,40
ITAU076,PD,WNA,100
ITAU076,PM,DTP,70
ITAU076,Co-PM,JQV,30
ITAU077,PD,DTP,70
ITAU077,Co-PD,FYA,30
ITAU077,PM,DGS,70
ITAU077,Co-PM,OMW,30
ITAU078,PD,DTP,70
ITAU078,Co-PD,TLW,30
ITAU078,PM,NFI,70
ITAU078,Co-PM,DGS,30
ITAU079,PD,WNA,100
ITAU079,PM,JQV,100
ITAU080,PD,DLP,70
ITAU080,Co-PD,RLM,30
ITAU080,PM,TLW,60
ITAU080,Co-PM,IFI,40
ITAU081,PD,IFS,60
ITAU081,Co-PD,OMW,40
ITAU081,PM,FYA,60
ITAU081,Co-PM,DTP,40
ITAU082,PD,IFI,100
ITAU082,PM,AMF,60
ITAU082,Co-PM,DGS,40
ITAU083,PD,DLP,70
ITAU083,Co-PD,IFI,30
ITAU083,PM,TLW,100
ITAU084,PD,WNA,60
ITAU084,Co-PD,HZR,40
ITAU084,PM,RLM,70
ITAU084,Co-PM,TSR,30
ITAU085,PD,DLP,100
ITAU085,PM,IFI,100
ITAU086,PD,NFI,100
ITAU086,PM,OMW,70
ITAU086,Co-PM,RLM,30
ITAU087,PD,NFI,70
ITAU087,Co-PD,TSR,30
ITAU087,PM,IFI,100
ITAU088,PD,RLM,100
ITAU088,PM,DLP,60
ITAU088,Co-PM,HZR,40
ITAU089,PD,TLW,100
ITAU089,PM,DGS,100
ITAU090,PD,AMF,100
ITAU090,PM,IFS,100
ITAU091,PD,IFS,60
ITAU091,Co-PD,JQV,40
ITAU091,PM,IFI,60
ITAU091,Co-PM,WNA,40
ITAU092,PD,AMF,70
ITAU092,Co-PD,FYA,30
ITAU092,PM,TSR,100
ITAU093,PD,FYA,70
ITAU093,Co-PD,DTP,30
ITAU093,PM,OMW,100
ITAU094,PD,DLP,100
ITAU094,PM,HZR,60
ITAU094,Co-PM,AMF,40
ITAU095,PD,TLW,100
ITAU095,PM,DGS,100
ITAU096,PD,DTP,70
ITAU096,Co-PD,DGS,30
ITAU096,PM,OMW,100
ITAU097,PD,WNA,60
ITAU097,Co-PD,DTP,40
ITAU097,PM,DLP,100
ITAU098,PD,DGS,70
ITAU098,Co-PD,JQV,30
ITAU098,PM,WNA,100
ITAU099,PD,DTP,60
ITAU099,Co-PD,WNA,40
ITAU099,PM,IFS,100
ITAU100,PD,IFI,60
ITAU100,Co-PD,TSR,40
ITAU100,PM,TLW,100
ITAU101,PD,AMF,100
ITAU101,PM,DGS,100
ITAU102,PD,TSR,60
ITAU102,Co-PD,DLP,40
ITAU102,PM,FYA,70
ITAU102,Co-PM,RLM,30
ITAU103,PD,TSR,70
ITAU103,Co-PD,JQV,30
ITAU103,PM,OMW,60
ITAU103,Co-PM,RLM,40
ITAU104,PD,IFI,100
ITAU104,PM,DLP,60
ITAU104,Co-PM,WNA,40
ITAU105,PD,DGS,70
ITAU105,Co-PD,JQV,30
ITAU105,PM,AMF,100
ITAU106,PD,WNA,60
ITAU106,Co-PD,TSR,40
ITAU106,PM,IFI,100
ITAU107,PD,TSR,100
ITAU107,PM,WNA,70
ITAU107,Co-PM,IFI,30
ITAU108,PD,DLP,70
ITAU108,Co-PD,DGS,30
ITAU108,PM,IFS,100
ITAU109,PD,DGS,100
ITAU109,PM,WNA,70
ITAU109,Co-PM,TSR,30
ITAU110,PD,IFS,70
ITAU110,Co-PD,IFI,30
ITAU110,PM,HZR,100
ITAU111,PD,IFS,100
ITAU111,PM,IFI,100
ITAU112,PD,DTP,70
ITAU112,Co-PD,JQV,30
ITAU112,PM,WNA,100
ITAU113,PD,RLM,100
ITAU113,PM,TLW,60
ITAU113,Co-PM,NFI,40
ITAU114,PD,RLM,100
ITAU114,PM,HZR,60
ITAU114,Co-PM,AMF,40
ITAU115,PD,TLW,100
ITAU115,PM,DGS,60
ITAU115,Co-PM,IFS,40
ITAU116,PD,IFI,100
ITAU116,PM,DGS,100
ITAU117,PD,DGS,60
ITAU117,Co-PD,AMF,40
ITAU117,PM,HZR,70
ITAU117,Co-PM,DLP,30
ITAU118,PD,FYA,60
ITAU118,Co-PD,IFI,40
