Job Code,Position,Employee,Time Contribution (hours)
BCDR042,PD,DTP,28
BCDR042,Co-PD,JQV,12
BCDR042,PM,FYA,24
BCDR042,Co-PM,DLP,16
BCDR043,PD,DLP,40
BCDR043,PM,TSR,40
BCDR044,PD,NFI,40
BCDR044,PM,RLM,40
BCSP001,PD,IFS,40
BCSP001,PM,NFI,40
BCSP002,PD,RLM,28
BCSP002,Co-PD,DLP,12
BCSP002,PM,AMF,24
BCSP002,Co-PM,OMW,16
BCSP003,PD,TLW,40
BCSP003,PM,DTP,40
BCSP004,PD,AMF,24
BCSP004,Co-PD,OMW,16
BCSP004,PM,DGS,40
BCSP005,PD,NFI,24
BCSP005,Co-PD,IFS,16
BCSP005,PM,IFI,24
BCSP005,Co-PM,OMW,16
BCSP006,PD,NFI,40
BCSP006,PM,DLP,28
BCSP006,Co-PM,AMF,12
BCSP007,PD,DTP,40
BCSP007,PM,IFS,40
BCSP008,PD,DLP,40
BCSP008,PM,HZR,24
BCSP008,Co-PM,TLW,16
BPIR004,PD,TLW,28
BPIR004,Co-PD,OMW,12
BPIR004,PM,IFI,24
BPIR004,Co-PM,WNA,16
BPIR005,PD,HZR,40
BPIR005,PM,TLW,24
BPIR005,Co-PM,RLM,16
BPIR006,PD,IFI,28
BPIR006,Co-PD,FYA,12
BPIR006,PM,AMF,40
BPIR007,PD,DTP,40
BPIR007,PM,DLP,28
BPIR007,Co-PM,IFS,12
BPIR008,PD,DTP,40
BPIR008,PM,IFI,40
BPIR009,PD,DLP,40
BPIR009,PM,JQV,40
BPIR010,PD,OMW,28
BPIR010,Co-PD,AMF,12
BPIR010,PM,AMF,40
BPIR010A,PD,IFS,24
BPIR010A,Co-PD,JQV,16
BPIR010A,PM,FYA,24
BPIR010A,Co-PM,DGS,16
BPIR011,PD,NFI,24
BPIR011,Co-PD,IFI,16
BPIR011,PM,WNA,28
BPIR011,Co-PM,HZR,12
BPIR012,PD,DTP,28
BPIR012,Co-PD,AMF,12
BPIR012,PM,IFI,40
BSOP002,PD,WNA,28
BSOP002,Co-PD,TSR,12
BSOP002,PM,NFI,24
BSOP002,Co-PM,IFI,16
BSOP003,PD,DGS,40
BSOP003,PM,FYA,40
BSOP004,PD,RLM,40
BSOP004,PM,DTP,40
BSOP005,PD,WNA,28
BSOP005,Co-PD,JQV,12
BSOP005,PM,IFI,28
BSOP005,Co-PM,DLP,12
BSOP006,PD,FYA,24
BSOP006,Co-PD,NFI,16
BSOP006,PM,NFI,40
BSOP007,PD,DGS,24
BSOP007,Co-PD,TLW,16
BSOP007,PM,HZR,24
BSOP007,Co-PM,AMF,16
BSOP008,PD,DGS,24
BSOP008,Co-PD,DTP,16
BSOP008,PM,RLM,28
BSOP008,Co-PM,FYA,12
BSOP009,PD,JQV,24
BSOP009,Co-PD,RLM,16
BSOP009,PM,WNA,28
BSOP009,Co-PM,DLP,12
BSOP010,PD,WNA,28
BSOP010,Co-PD,TSR,12
BSOP010,PM,OMW,24
BSOP010,Co-PM,FYA,16
BSOP011,PD,HZR,40
BSOP011,PM,DGS,28
BSOP011,Co-PM,TSR,12
BSOP012,PD,AMF,24
BSOP012,Co-PD,DLP,16
BSOP012,PM,DGS,40
BSOP013,PD,DGS,28
BSOP013,Co-PD,IFS,12
BSOP013,PM,NFI,40
BSOP014,PD,RLM,40
BSOP014,PM,OMW,24
BSOP014,Co-PM,DGS,16
BSOP015,PD,RLM,40
BSOP015,PM,DGS,40
BSOP016,PD,JQV,40
BSOP016,PM,FYA,28
BSOP016,Co-PM,DGS,12
BSOP017,PD,OMW,40
BSOP017,PM,HZR,24
BSOP017,Co-PM,NFI,16
BSOP018,PD,TSR,28
BSOP018,Co-PD,DGS,12
BSOP018,PM,NFI,24
BSOP018,Co-PM,FYA,16
BSOP019,PD,TSR,24
BSOP019,Co-PD,DLP,16
BSOP019,PM,OMW,40
BSOP020,PD,OMW,40
BSOP020,PM,HZR,40
BSOP021,PD,DTP,28
BSOP021,Co-PD,TSR,12
BSOP021,PM,AMF,40
BSOP022,PD,FYA,24
BSOP022,Co-PD,AMF,16
BSOP022,PM,OMW,40
BSOP023,PD,TSR,28
BSOP023,Co-PD,IFS,12
BSOP023,PM,TLW,40
BSOP024,PD,NFI,24
BSOP024,Co-PD,RLM,16
BSOP024,PM,DTP,40
CIMP001,PD,RLM,40
CIMP001,PM,JQV,40
CIMP002,PD,JQV,40
CIMP002,PM,TSR,24
CIMP002,Co-PM,RLM,16
CIMP003,PD,IFS,28
CIMP003,Co-PD,HZR,12
CIMP003,PM,RLM,40
CIMP004,PD,WNA,24
CIMP004,Co-PD,OMW,16
CIMP004,PM,OMW,40
CIMP005,PD,WNA,24
CIMP005,Co-PD,OMW,16
CIMP005,PM,JQV,40
CIMP006,PD,IFI,40
CIMP006,PM,TSR,24
CIMP006,Co-PM,DTP,16
CIMP007,PD,FYA,24
CIMP007,Co-PD,DGS,16
CIMP007,PM,WNA,28
CIMP007,Co-PM,RLM,12
CIMP008,PD,WNA,28
CIMP008,Co-PD,DGS,12
CIMP008,PM,JQV,24
CIMP008,Co-PM,IFS,16
CIMP009,PD,DLP,40
CIMP009,PM,DGS,28
CIMP009,Co-PM,TSR,12
CIMP010,PD,RLM,28
CIMP010,Co-PD,DTP,12
CIMP010,PM,NFI,40
CIMP011,PD,IFS,40
CIMP011,PM,DLP,28
CIMP011,Co-PM,RLM,12
CIMP012,PD,JQV,40
CIMP012,PM,TLW,28
CIMP012,Co-PM,IFI,12
CIMP013,PD,HZR,40
CIMP013,PM,RLM,40
CIMP014,PD,RLM,24
CIMP014,Co-PD,IFI,16
CIMP014,PM,DTP,40
DGOV001,PD,HZR,40
DGOV001,PM,TLW,24
DGOV001,Co-PM,WNA,16
DGOV002,PD,RLM,40
DGOV002,PM,IFS,40
DGOV003,PD,HZR,40
DGOV003,PM,DGS,40
DGOV004,PD,TLW,40
DGOV004,PM,RLM,40
DGOV005,PD,TLW,24
DGOV005,Co-PD,NFI,16
DGOV005,PM,DGS,40
DGOV006,PD,TLW,40
DGOV006,PM,FYA,24
DGOV006,Co-PM,DGS,16
DGOV007,PD,NFI,28
DGOV007,Co-PD,OMW,12
DGOV007,PM,IFI,28
DGOV007,Co-PM,WNA,12
DGOV008,PD,JQV,24
DGOV008,Co-PD,OMW,16
DGOV008,PM,TSR,40
DGOV009,PD,OMW,24
DGOV009,Co-PD,HZR,16
DGOV009,PM,TLW,40
DGOV010,PD,IFS,40
DGOV010,PM,DTP,40
DKVC001,PD,RLM,40
DKVC001,PM,TLW,24
DKVC001,Co-PM,TSR,16
HCPS001,PD,RLM,24
HCPS001,Co-PD,HZR,16
HCPS001,PM,WNA,40
HCPS002,PD,WNA,40
HCPS002,PM,NFI,24
HCPS002,Co-PM,TSR,16
HCPS003,PD,TLW,24
HCPS003,Co-PD,TSR,16
HCPS003,PM,RLM,28
HCPS003,Co-PM,WNA,12
HCPS004,PD,IFS,40
HCPS004,PM,OMW,40
HCPS005,PD,AMF,24
HCPS005,Co-PD,JQV,16
HCPS005,PM,IFI,40
HCPS006,PD,IFI,24
HCPS006,Co-PD,TLW,16
HCPS006,PM,FYA,24
HCPS006,Co-PM,TLW,16
HCPS007,PD,FYA,40
HCPS007,PM,HZR,24
HCPS007,Co-PM,DLP,16
HCPS008,PD,DTP,40
HCPS008,PM,DLP,40
HCPS009,PD,TSR,28
HCPS009,Co-PD,DLP,12
HCPS009,PM,DGS,28
HCPS009,Co-PM,NFI,12
HCPS010,PD,DGS,28
HCPS010,Co-PD,IFI,12
HCPS010,PM,IFI,28
HCPS010,Co-PM,DLP,12
HCPS011,PD,TLW,40
HCPS011,PM,DGS,28
HCPS011,Co-PM,AMF,12
IBSD001,PD,RLM,40
IBSD001,PM,FYA,24
IBSD001,Co-PM,DTP,16
ICPA001,PD,IFS,40
ICPA001,PM,OMW,28
ICPA001,Co-PM,DGS,12
INAU005,PD,DLP,40
INAU005,PM,HZR,40
INAU006,PD,DLP,40
INAU006,PM,TSR,40
INAU007,PD,IFS,40
INAU007,PM,DGS,40
INAU008,PD,RLM,24
INAU008,Co-PD,WNA,16
INAU008,PM,AMF,24
INAU008,Co-PM,WNA,16
INAU009,PD,DTP,40
INAU009,PM,HZR,24
INAU009,Co-PM,TLW,16
INAU010,PD,AMF,40
INAU010,PM,TLW,40
INAU011,PD,OMW,24
INAU011,Co-PD,IFS,16
INAU011,PM,AMF,40
INAU012,PD,WNA,40
INAU012,PM,TLW,24
INAU012,Co-PM,DGS,16
INAU013,PD,TSR,40
INAU013,PM,HZR,40
INAU014,PD,FYA,40
INAU014,PM,NFI,40
INAU015,PD,IFS,40
INAU015,PM,OMW,24
INAU015,Co-PM,WNA,16
INAU016,PD,IFI,24
INAU016,Co-PD,OMW,16
INAU016,PM,OMW,24
INAU016,Co-PM,JQV,16
INAU017,PD,WNA,28
INAU017,Co-PD,NFI,12
INAU017,PM,NFI,40
INAU018,PD,TLW,40
INAU018,PM,NFI,40
INAU019,PD,AMF,40
INAU019,PM,TLW,40
INAU020,PD,DLP,28
INAU020,Co-PD,TLW,12
INAU020,PM,TSR,40
INAU021,PD,TSR,24
INAU021,Co-PD,IFS,16
INAU021,PM,TLW,40
INAU022,PD,WNA,24
INAU022,Co-PD,RLM,16
INAU022,PM,FYA,28
INAU022,Co-PM,NFI,12
INAU023A,PD,JQV,28
INAU023A,Co-PD,DLP,12
INAU023A,PM,NFI,24
INAU023A,Co-PM,WNA,16
INAU023B,PD,JQV,40
INAU023B,PM,DGS,40
INAU023C,PD,FYA,40
INAU023C,PM,HZR,24
INAU023C,Co-PM,NFI,16
INAU024,PD,IFI,28
INAU024,Co-PD,RLM,12
INAU024,PM,TSR,24
INAU024,Co-PM,DTP,16
INAU025,PD,JQV,40
INAU025,PM,AMF,40
INAU026,PD,TLW,24
INAU026,Co-PD,DTP,16
INAU026,PM,WNA,28
INAU026,Co-PM,TSR,12
INAU027,PD,DTP,24
INAU027,Co-PD,HZR,16
INAU027,PM,IFI,40
INAU028,PD,OMW,28
INAU028,Co-PD,AMF,12
INAU028,PM,IFI,24
INAU028,Co-PM,JQV,16
INAU029,PD,DLP,40
INAU029,PM,IFI,40
INAU030,PD,OMW,40
INAU030,PM,DGS,40
INAU031,PD,RLM,40
INAU031,PM,TLW,40
INAU032,PD,FYA,40
INAU032,PM,TLW,28
INAU032,Co-PM,JQV,12
INAU033,PD,IFS,40
INAU033,PM,DLP,40
INAU034,PD,NFI,40
INAU034,PM,TSR,40
INAU035,PD,IFI,28
INAU035,Co-PD,IFS,12
INAU035,PM,NFI,24
INAU035,Co-PM,IFS,16
INAU036,PD,FYA,24
INAU036,Co-PD,TSR,16
INAU036,PM,RLM,40
INAU037,PD,DLP,40
INAU037,PM,TSR,40
INAU038,PD,AMF,40
INAU038,PM,DGS,40
INAU039,PD,OMW,28
INAU039,Co-PD,NFI,12
INAU039,PM,FYA,40
INAU040,PD,DLP,24
INAU040,Co-PD,DGS,16
INAU040,PM,AMF,40
INAU041,PD,IFS,40
INAU041,PM,TLW,24
INAU041,Co-PM,DGS,16
INAU042,PD,JQV,24
INAU042,Co-PD,FYA,16
INAU042,PM,TLW,24
INAU042,Co-PM,DTP,16
IOCM001,PD,JQV,28
IOCM001,Co-PD,FYA,12
IOCM001,PM,DLP,28
IOCM001,Co-PM,RLM,12
IPDP001,PD,RLM,40
IPDP001,PM,FYA,40
IPDP002,PD,RLM,40
IPDP002,PM,TLW,40
IPDP003,PD,TLW,40
IPDP003,PM,IFI,40
IPDP004,PD,OMW,40
IPDP004,PM,WNA,40
IPDP005,PD,TLW,24
IPDP005,Co-PD,TSR,16
IPDP005,PM,JQV,24
IPDP005,Co-PM,IFI,16
IPDP006,PD,OMW,40
IPDP006,PM,FYA,40
IPDP007,PD,OMW,40
IPDP007,PM,IFS,24
IPDP007,Co-PM,DLP,16
IPDP008,PD,FYA,24
IPDP008,Co-PD,DGS,16
IPDP008,PM,HZR,40
IPDP009,PD,DTP,40
IPDP009,PM,IFS,28
IPDP009,Co-PM,DLP,12
IPDP010,PD,WNA,24
IPDP010,Co-PD,DGS,16
IPDP010,PM,JQV,28
IPDP010,Co-PM,DTP,12
IPDP011,PD,FYA,40
IPDP011,PM,TSR,24
IPDP011,Co-PM,DGS,16
IPDP012,PD,DLP,28
IPDP012,Co-PD,JQV,12
IPDP012,PM,RLM,28
IPDP012,Co-PM,IFS,12
IPDP013,PD,WNA,28
IPDP013,Co-PD,NFI,12
IPDP013,PM,TLW,40
IPDP014,PD,AMF,40
IPDP014,PM,TLW,40
IPDP015,PD,FYA,40
IPDP015,PM,TSR,24
IPDP015,Co-PM,IFS,16
IPDP016,PD,NFI,24
IPDP016,Co-PD,IFI,16
IPDP016,PM,FYA,40
IPDP017,PD,WNA,40
IPDP017,PM,IFI,40
IPDP018,PD,FYA,40
IPDP018,PM,HZR,24
IPDP018,Co-PM,DGS,16
IPDP019,PD,DGS,24
IPDP019,Co-PD,JQV,16
IPDP019,PM,HZR,40
IPDP020,PD,AMF,24
IPDP020,Co-PD,IFI,16
IPDP020,PM,WNA,24
IPDP020,Co-PM,TSR,16
IPDP021,PD,TLW,40
IPDP021,PM,HZR,28
IPDP021,Co-PM,RLM,12
IPDP022,PD,IFS,24
IPDP022,Co-PD,HZR,16
IPDP022,PM,DTP,24
IPDP022,Co-PM,WNA,16
IPDP023,PD,OMW,40
IPDP023,PM,DGS,40
IPDP024,PD,IFI,28
IPDP024,Co-PD,DTP,12
IPDP024,PM,IFS,40
IPDP025,PD,TSR,40
IPDP025,PM,HZR,40
IPDP026,PD,DLP,40
IPDP026,PM,WNA,24
IPDP026,Co-PM,NFI,16
IPDP027,PD,DGS,40
IPDP027,PM,IFI,24
IPDP027,Co-PM,HZR,16
IPDP028,PD,TSR,40
IPDP028,PM,TLW,40
IPDP029,PD,DGS,24
IPDP029,Co-PD,AMF,16
IPDP029,PM,TSR,40
IPDP030,PD,HZR,40
IPDP030,PM,DGS,40
IPDP031,PD,IFS,24
IPDP031,Co-PD,JQV,16
IPDP031,PM,NFI,40
IPDP032,PD,OMW,40
IPDP032,PM,DGS,40
IPDP032A,PD,DGS,24
IPDP032A,Co-PD,IFI,16
IPDP032A,PM,DTP,28
IPDP032A,Co-PM,HZR,12
IPDP033,PD,FYA,28
IPDP033,Co-PD,TLW,12
IPDP033,PM,NFI,40
IPDP034,PD,IFS,40
IPDP034,PM,IFI,24
IPDP034,Co-PM,DLP,16
IPDP035,PD,IFS,40
IPDP035,PM,TLW,40
IPDP036,PD,IFI,24
IPDP036,Co-PD,JQV,16
IPDP036,PM,WNA,24
IPDP036,Co-PM,DTP,16
IPDP037,PD,HZR,28
IPDP037,Co-PD,WNA,12
IPDP037,PM,DLP,24
IPDP037,Co-PM,OMW,16
IPDP038,PD,AMF,40
IPDP038,PM,RLM,28
IPDP038,Co-PM,FYA,12
IPDP039,PD,OMW,40
IPDP039,PM,DLP,24
IPDP039,Co-PM,JQV,16
IPDP040,PD,IFS,24
IPDP040,Co-PD,RLM,16
IPDP040,PM,DTP,40
IPDP041,PD,AMF,28
IPDP041,Co-PD,DTP,12
IPDP041,PM,IFS,40
IPDP042,PD,DGS,40
IPDP042,PM,FYA,40
IPDP043,PD,NFI,40
IPDP043,PM,OMW,24
IPDP043,Co-PM,FYA,16
IPDP044,PD,AMF,40
IPDP044,PM,DGS,40
IPDP045,PD,DGS,28
IPDP045,Co-PD,DLP,12
IPDP045,PM,FYA,40
IPDP046,PD,DTP,40
IPDP046,PM,RLM,24
IPDP046,Co-PM,TSR,16
IPDP047,PD,JQV,28
IPDP047,Co-PD,NFI,12
IPDP047,PM,DGS,40
IPDP048,PD,TSR,40
IPDP048,PM,FYA,40
ISOL001,PD,FYA,40
ISOL001,PM,WNA,40
ITAU011,PD,FYA,40
ITAU011,PM,OMW,40
ITAU012,PD,TLW,40
ITAU012,PM,IFI,40
ITAU014,PD,NFI,40
ITAU014,PM,RLM,40
ITAU031,PD,OMW,40
ITAU031,PM,DGS,40
ITAU032,PD,DLP,40
ITAU032,PM,DTP,24
ITAU032,Co-PM,NFI,16
ITAU033,PD,TSR,40
ITAU033,PM,JQV,24
ITAU033,Co-PM,TLW,16
ITAU034,PD,DLP,40
ITAU034,PM,WNA,24
ITAU034,Co-PM,AMF,16
ITAU035,PD,HZR,40
ITAU035,PM,AMF,24
ITAU035,Co-PM,TLW,16
ITAU036,PD,AMF,28
ITAU036,Co-PD,IFI,12
ITAU036,PM,DTP,28
ITAU036,Co-PM,WNA,12
ITAU037,PD,DLP,28
ITAU037,Co-PD,IFS,12
ITAU037,PM,TLW,24
ITAU037,Co-PM,RLM,16
ITAU038,PD,IFS,40
ITAU038,PM,IFI,40
ITAU039,PD,AMF,24
ITAU039,Co-PD,TLW,16
ITAU039,PM,FYA,28
ITAU039,Co-PM,OMW,12
ITAU040,PD,TLW,24
ITAU040,Co-PD,NFI,16
ITAU040,PM,DLP,40
ITAU041,PD,TSR,40
ITAU041,PM,JQV,24
ITAU041,Co-PM,TLW,16
ITAU042,PD,NFI,40
ITAU042,PM,HZR,40
ITAU043,PD,DLP,40
ITAU043,PM,JQV,40
ITAU044,PD,DTP,28
ITAU044,Co-PD,OMW,12
ITAU044,PM,NFI,40
ITAU045,PD,NFI,28
ITAU045,Co-PD,DGS,12
ITAU045,PM,AMF,24
ITAU045,Co-PM,FYA,16
ITAU046,PD,RLM,28
ITAU046,Co-PD,IFS,12
ITAU046,PM,FYA,40
ITAU047,PD,IFI,40
ITAU047,PM,IFS,28
ITAU047,Co-PM,NFI,12
ITAU048,PD,AMF,40
ITAU048,PM,IFI,28
ITAU048,Co-PM,HZR,12
ITAU049,PD,IFS,24
ITAU049,Co-PD,IFI,16
ITAU049,PM,DTP,28
ITAU049,Co-PM,TLW,12
ITAU050,PD,JQV,24
ITAU050,Co-PD,TLW,16
ITAU050,PM,WNA,40
ITAU051,PD,TLW,40
ITAU051,PM,AMF,24
ITAU051,Co-PM,HZR,16
ITAU052,PD,TLW,40
ITAU052,PM,DTP,24
ITAU052,Co-PM,IFS,16
ITAU053,PD,OMW,40
ITAU053,PM,WNA,40
ITAU054,PD,TLW,24
ITAU054,Co-PD,DLP,16
ITAU054,PM,AMF,24
ITAU054,Co-PM,IFI,16
ITAU055,PD,IFS,40
ITAU055,PM,WNA,40
ITAU056,PD,OMW,40
ITAU056,PM,IFS,24
ITAU056,Co-PM,AMF,16
ITAU057,PD,DLP,40
ITAU057,PM,IFI,40
ITAU058,PD,AMF,40
ITAU058,PM,WNA,40
ITAU059,PD,NFI,24
ITAU059,Co-PD,FYA,16
ITAU059,PM,OMW,40
ITAU060,PD,OMW,24
ITAU060,Co-PD,DLP,16
ITAU060,PM,TLW,24
ITAU060,Co-PM,FYA,16
ITAU061,PD,IFI,40
ITAU061,PM,WNA,28
ITAU061,Co-PM,DLP,12
ITAU062,PD,OMW,24
ITAU062,Co-PD,RLM,16
ITAU062,PM,DGS,24
ITAU062,Co-PM,DTP,16
ITAU063,PD,AMF,24
ITAU063,Co-PD,TSR,16
ITAU063,PM,HZR,40
ITAU064,PD,DTP,40
ITAU064,PM,AMF,28
ITAU064,Co-PM,IFI,12
ITAU065,PD,IFI,40
ITAU065,PM,FYA,40
ITAU066,PD,TSR,40
ITAU066,PM,OMW,28
ITAU066,Co-PM,FYA,12
ITAU067,PD,RLM,28
ITAU067,Co-PD,WNA,12
ITAU067,PM,IFS,40
ITAU068,PD,DGS,40
ITAU068,PM,DTP,24
ITAU068,Co-PM,RLM,16
ITAU069,PD,HZR,28
ITAU069,Co-PD,DTP,12
ITAU069,PM,DGS,24
ITAU069,Co-PM,AMF,16
ITAU070,PD,DLP,28
ITAU070,Co-PD,JQV,12
ITAU070,PM,IFI,40
ITAU071,PD,NFI,24
ITAU071,Co-PD,WNA,16
ITAU071,PM,IFI,24
ITAU071,Co-PM,DGS,16
ITAU072,PD,RLM,40
ITAU072,PM,IFS,28
ITAU072,Co-PM,DTP,12
ITAU073,PD,IFI,40
ITAU073,PM,DTP,40
ITAU074,PD,FYA,24
ITAU074,Co-PD,TLW,16
ITAU074,PM,AMF,28
ITAU074,Co-PM,TSR,12
ITAU075,PD,RLM,40
ITAU075,PM,TSR,24
ITAU075,Co-PM,FYA,16
ITAU076,PD,WNA,40
ITAU076,PM,DTP,28
ITAU076,Co-PM,JQV,12
ITAU077,PD,DTP,28
ITAU077,Co-PD,FYA,12
ITAU077,PM,DGS,28
ITAU077,Co-PM,OMW,12
ITAU078,PD,DTP,28
ITAU078,Co-PD,TLW,12
ITAU078,PM,NFI,28
ITAU078,Co-PM,DGS,12
ITAU079,PD,WNA,40
ITAU079,PM,JQV,40
ITAU080,PD,DLP,28
ITAU080,Co-PD,RLM,12
ITAU080,PM,TLW,24
ITAU080,Co-PM,IFI,16
ITAU081,PD,IFS,24
ITAU081,Co-PD,OMW,16
ITAU081,PM,FYA,24
ITAU081,Co-PM,DTP,16
ITAU082,PD,IFI,40
ITAU082,PM,AMF,24
ITAU082,Co-PM,DGS,16
ITAU083,PD,DLP,28
ITAU083,Co-PD,IFI,12
ITAU083,PM,TLW,40
ITAU084,PD,WNA,24
ITAU084,Co-PD,HZR,16
ITAU084,PM,RLM,28
ITAU084,Co-PM,TSR,12
ITAU085,PD,DLP,40
ITAU085,PM,IFI,40
ITAU086,PD,NFI,40
ITAU086,PM,OMW,28
ITAU086,Co-PM,RLM,12
ITAU087,PD,NFI,28
ITAU087,Co-PD,TSR,12
ITAU087,PM,IFI,40
ITAU088,PD,RLM,40
ITAU088,PM,DLP,24
ITAU088,Co-PM,HZR,16
ITAU089,PD,TLW,40
ITAU089,PM,DGS,40
ITAU090,PD,AMF,40
ITAU090,PM,IFS,40
ITAU091,PD,IFS,24
ITAU091,Co-PD,JQV,16
ITAU091,PM,IFI,24
ITAU091,Co-PM,WNA,16
ITAU092,PD,AMF,28
ITAU092,Co-PD,FYA,12
ITAU092,PM,TSR,40
ITAU093,PD,FYA,28
ITAU093,Co-PD,DTP,12
ITAU093,PM,OMW,40
ITAU094,PD,DLP,40
ITAU094,PM,HZR,24
ITAU094,Co-PM,AMF,16
ITAU095,PD,TLW,40
ITAU095,PM,DGS,40
ITAU096,PD,DTP,28
ITAU096,Co-PD,DGS,12
ITAU096,PM,OMW,40
ITAU097,PD,WNA,24
ITAU097,Co-PD,DTP,16
ITAU097,PM,DLP,40
ITAU098,PD,DGS,28
ITAU098,Co-PD,JQV,12
ITAU098,PM,WNA,40
ITAU099,PD,DTP,24
ITAU099,Co-PD,WNA,16
ITAU099,PM,IFS,40
ITAU100,PD,IFI,24
ITAU100,Co-PD,TSR,16
ITAU100,PM,TLW,40
ITAU101,PD,AMF,40
ITAU101,PM,DGS,40
ITAU102,PD,TSR,24
ITAU102,Co-PD,DLP,16
ITAU102,PM,FYA,28
ITAU102,Co-PM,RLM,12
ITAU103,PD,TSR,28
ITAU103,Co-PD,JQV,12
ITAU103,PM,OMW,24
ITAU103,Co-PM,RLM,16
ITAU104,PD,IFI,40
ITAU104,PM,DLP,24
ITAU104,Co-PM,WNA,16
ITAU105,PD,DGS,28
ITAU105,Co-PD,JQV,12
ITAU105,PM,AMF,40
ITAU106,PD,WNA,24
ITAU106,Co-PD,TSR,16
ITAU106,PM,IFI,40
ITAU107,PD,TSR,40
ITAU107,PM,WNA,28
ITAU107,Co-PM,IFI,12
ITAU108,PD,DLP,28
ITAU108,Co-PD,DGS,12
ITAU108,PM,IFS,40
ITAU109,PD,DGS,40
ITAU109,PM,WNA,28
ITAU109,Co-PM,TSR,12
ITAU110,PD,IFS,28
ITAU110,Co-PD,IFI,12
ITAU110,PM,HZR,40
ITAU111,PD,IFS,40
ITAU111,PM,IFI,40
ITAU112,PD,DTP,28
ITAU112,Co-PD,JQV,12
ITAU112,PM,WNA,40
ITAU113,PD,RLM,40
ITAU113,PM,TLW,24
ITAU113,Co-PM,NFI,16
ITAU114,PD,RLM,40
ITAU114,PM,HZR,24
ITAU114,Co-PM,AMF,16
ITAU115,PD,TLW,40
ITAU115,PM,DGS,24
ITAU115,Co-PM,IFS,16
ITAU116,PD,IFI,40
ITAU116,PM,DGS,40
ITAU117,PD,DGS,24
ITAU117,Co-PD,AMF,16
ITAU117,PM,HZR,28
ITAU117,Co-PM,DLP,12
ITAU118,PD,FYA,24
ITAU118,Co-PD,IFI,16
